airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-14,20:10,2023-03-14,23:00,BRU,Brussels,AGP,Malaga,02:50,FR 2923,0,154.09,FR~2923~ ~~BRU~03/14/2023 20:10~AGP~03/14/2023 23:00~~
Ryanair,2023-03-13,2023-03-16,19:35,2023-03-16,22:25,BRU,Brussels,AGP,Malaga,02:50,FR 2923,0,154.09,FR~2923~ ~~BRU~03/16/2023 19:35~AGP~03/16/2023 22:25~~
Ryanair,2023-03-13,2023-03-17,10:20,2023-03-17,13:10,BRU,Brussels,AGP,Malaga,02:50,FR 2923,1,244.13,FR~2923~ ~~BRU~03/17/2023 10:20~AGP~03/17/2023 13:10~~
Ryanair,2023-03-13,2023-03-21,20:10,2023-03-21,23:00,BRU,Brussels,AGP,Malaga,02:50,FR 2923,5,139.76,FR~2923~ ~~BRU~03/21/2023 20:10~AGP~03/21/2023 23:00~~
Ryanair,2023-03-13,2023-03-23,19:35,2023-03-23,22:25,BRU,Brussels,AGP,Malaga,02:50,FR 2923,3,168.99,FR~2923~ ~~BRU~03/23/2023 19:35~AGP~03/23/2023 22:25~~
Ryanair,2023-03-13,2023-03-24,10:20,2023-03-24,13:10,BRU,Brussels,AGP,Malaga,02:50,FR 2923,5,168.99,FR~2923~ ~~BRU~03/24/2023 10:20~AGP~03/24/2023 13:10~~
Ryanair,2023-03-13,2023-03-26,09:55,2023-03-26,12:50,BRU,Brussels,AGP,Malaga,02:55,FR 2923,1,73.99,FR~2923~ ~~BRU~03/26/2023 09:55~AGP~03/26/2023 12:50~~
Ryanair,2023-03-13,2023-03-27,17:40,2023-03-27,20:30,BRU,Brussels,AGP,Malaga,02:50,FR 2923,3,106.77,FR~2923~ ~~BRU~03/27/2023 17:40~AGP~03/27/2023 20:30~~
Ryanair,2023-03-13,2023-03-29,10:05,2023-03-29,13:00,BRU,Brussels,AGP,Malaga,02:55,FR 2923,4,122.97,FR~2923~ ~~BRU~03/29/2023 10:05~AGP~03/29/2023 13:00~~
Ryanair,2023-03-13,2023-04-02,09:55,2023-04-02,12:50,BRU,Brussels,AGP,Malaga,02:55,FR 2923,3,194.99,FR~2923~ ~~BRU~04/02/2023 09:55~AGP~04/02/2023 12:50~~
