airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-16,20:25,2023-03-16,22:50,BRU,Brussels,ALC,Alicante,02:25,FR 4181,4,197.24,FR~4181~ ~~BRU~03/16/2023 20:25~ALC~03/16/2023 22:50~~
Ryanair,2023-03-13,2023-03-19,09:00,2023-03-19,11:25,BRU,Brussels,ALC,Alicante,02:25,FR 2933,3,128.87,FR~2933~ ~~BRU~03/19/2023 09:00~ALC~03/19/2023 11:25~~
Ryanair,2023-03-13,2023-03-20,09:10,2023-03-20,11:35,BRU,Brussels,ALC,Alicante,02:25,FR 2933,2,131.49,FR~2933~ ~~BRU~03/20/2023 09:10~ALC~03/20/2023 11:35~~
Ryanair,2023-03-13,2023-03-23,20:25,2023-03-23,22:50,BRU,Brussels,ALC,Alicante,02:25,FR 4181,4,154.09,FR~4181~ ~~BRU~03/23/2023 20:25~ALC~03/23/2023 22:50~~Ryanair,2023-03-15,2023-03-16,20:25,2023-03-16,22:50,BRU,Brussels,ALC,Alicante,02:25,FR 4181,0,150.47,FR~4181~ ~~BRU~03/16/2023 20:25~ALC~03/16/2023 22:50~~
Ryanair,2023-03-15,2023-03-19,09:00,2023-03-19,11:25,BRU,Brussels,ALC,Alicante,02:25,FR 2933,3,139.99,FR~2933~ ~~BRU~03/19/2023 09:00~ALC~03/19/2023 11:25~~
Ryanair,2023-03-15,2023-03-20,09:10,2023-03-20,11:35,BRU,Brussels,ALC,Alicante,02:25,FR 2933,1,120.99,FR~2933~ ~~BRU~03/20/2023 09:10~ALC~03/20/2023 11:35~~
Ryanair,2023-03-15,2023-03-23,20:25,2023-03-23,22:50,BRU,Brussels,ALC,Alicante,02:25,FR 4181,2,177.79,FR~4181~ ~~BRU~03/23/2023 20:25~ALC~03/23/2023 22:50~~
Ryanair,2023-03-17,2023-03-19,09:00,2023-03-19,11:25,BRU,Brussels,ALC,Alicante,02:25,FR 2933,4,167.99,FR~2933~ ~~BRU~03/19/2023 09:00~ALC~03/19/2023 11:25~~
Ryanair,2023-03-17,2023-03-20,09:10,2023-03-20,11:35,BRU,Brussels,ALC,Alicante,02:25,FR 2933,2,126.24,FR~2933~ ~~BRU~03/20/2023 09:10~ALC~03/20/2023 11:35~~
Ryanair,2023-03-17,2023-03-23,20:25,2023-03-23,22:50,BRU,Brussels,ALC,Alicante,02:25,FR 4181,3,200.99,FR~4181~ ~~BRU~03/23/2023 20:25~ALC~03/23/2023 22:50~~
Ryanair,2023-03-23,2023-03-23,20:25,2023-03-23,22:50,BRU,Brussels,ALC,Alicante,02:25,FR 4181,0,205.75,FR~4181~ ~~BRU~03/23/2023 20:25~ALC~03/23/2023 22:50~~
