airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
yanair,2023-03-13,2023-03-27,20:25,2023-03-27,22:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,57.05,FR~2915~ ~~BRU~03/27/2023 20:25~PMI~03/27/2023 22:40~~
Ryanair,2023-03-13,2023-03-29,17:25,2023-03-29,19:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,2,48.56,FR~2915~ ~~BRU~03/29/2023 17:25~PMI~03/29/2023 19:40~~
Ryanair,2023-03-13,2023-03-31,11:00,2023-03-31,13:15,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,3,90.99,FR~2915~ ~~BRU~03/31/2023 11:00~PMI~03/31/2023 13:15~~
Ryanair,2023-03-13,2023-04-03,20:25,2023-04-03,22:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,5,100.59,FR~2915~ ~~BRU~04/03/2023 20:25~PMI~04/03/2023 22:40~~
Ryanair,2023-03-13,2023-04-05,17:25,2023-04-05,19:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,5,67.99,FR~2915~ ~~BRU~04/05/2023 17:25~PMI~04/05/2023 19:40~~
Ryanair,2023-03-13,2023-04-07,11:00,2023-04-07,13:15,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,2,152.92,FR~2915~ ~~BRU~04/07/2023 11:00~PMI~04/07/2023 13:15~~
Ryanair,2023-03-13,2023-04-10,20:25,2023-04-10,22:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,4,101.39,FR~2915~ ~~BRU~04/10/2023 20:25~PMI~04/10/2023 22:40~~
Ryanair,2023-03-13,2023-04-12,17:25,2023-04-12,19:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,76.39,FR~2915~ ~~BRU~04/12/2023 17:25~PMI~04/12/2023 19:40~~
Ryanair,2023-03-13,2023-04-14,11:00,2023-04-14,13:15,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,90.99,FR~2915~ ~~BRU~04/14/2023 11:00~PMI~04/14/2023 13:15~~
Ryanair,2023-03-13,2023-04-17,20:25,2023-04-17,22:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,24.99,FR~2915~ ~~BRU~04/17/2023 20:25~PMI~04/17/2023 22:40~~
Ryanair,2023-03-13,2023-04-19,17:25,2023-04-19,19:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,4,48.37,FR~2915~ ~~BRU~04/19/2023 17:25~PMI~04/19/2023 19:40~~
Ryanair,2023-03-13,2023-04-21,11:00,2023-04-21,13:15,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,135.64,FR~2915~ ~~BRU~04/21/2023 11:00~PMI~04/21/2023 13:15~~
Ryanair,2023-03-13,2023-04-24,20:25,2023-04-24,22:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,2,90.99,FR~2915~ ~~BRU~04/24/2023 20:25~PMI~04/24/2023 22:40~~
Ryanair,2023-03-13,2023-04-26,17:25,2023-04-26,19:40,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,116.79,FR~2915~ ~~BRU~04/26/2023 17:25~PMI~04/26/2023 19:40~~
Ryanair,2023-03-13,2023-04-28,11:00,2023-04-28,13:15,BRU,Brussels,PMI,Mallorca,02:15,FR 2915,-1,214.99,FR~2915~ ~~BRU~04/28/2023 11:00~PMI~04/28/2023 13:15~~
