airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-14,08:30,2023-03-14,11:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,0,84.55,FR~1928~ ~~CRL~03/14/2023 08:30~AGP~03/14/2023 11:15~~
Ryanair,2023-03-13,2023-03-15,15:40,2023-03-15,18:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,0,84.55,FR~1928~ ~~CRL~03/15/2023 15:40~AGP~03/15/2023 18:25~~
Ryanair,2023-03-13,2023-03-16,07:40,2023-03-16,10:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,0,84.55,FR~1928~ ~~CRL~03/16/2023 07:40~AGP~03/16/2023 10:25~~
Ryanair,2023-03-13,2023-03-17,15:40,2023-03-17,18:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,2,174.99,FR~1928~ ~~CRL~03/17/2023 15:40~AGP~03/17/2023 18:25~~
Ryanair,2023-03-13,2023-03-18,15:35,2023-03-18,18:20,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,1,160.99,FR~1928~ ~~CRL~03/18/2023 15:35~AGP~03/18/2023 18:20~~
Ryanair,2023-03-13,2023-03-19,08:30,2023-03-19,11:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,3,202.49,FR~1928~ ~~CRL~03/19/2023 08:30~AGP~03/19/2023 11:15~~
Ryanair,2023-03-13,2023-03-20,16:40,2023-03-20,19:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,5,160.99,FR~1928~ ~~CRL~03/20/2023 16:40~AGP~03/20/2023 19:25~~
Ryanair,2023-03-13,2023-03-21,08:30,2023-03-21,11:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,1,132.54,FR~1928~ ~~CRL~03/21/2023 08:30~AGP~03/21/2023 11:15~~
Ryanair,2023-03-13,2023-03-22,15:40,2023-03-22,18:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,-1,133.59,FR~1928~ ~~CRL~03/22/2023 15:40~AGP~03/22/2023 18:25~~
Ryanair,2023-03-13,2023-03-23,07:40,2023-03-23,10:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,3,114.89,FR~1928~ ~~CRL~03/23/2023 07:40~AGP~03/23/2023 10:25~~
Ryanair,2023-03-13,2023-03-24,15:40,2023-03-24,18:25,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,2,151.74,FR~1928~ ~~CRL~03/24/2023 15:40~AGP~03/24/2023 18:25~~
Ryanair,2023-03-13,2023-03-25,15:35,2023-03-25,18:20,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,5,139.99,FR~1928~ ~~CRL~03/25/2023 15:35~AGP~03/25/2023 18:20~~
Ryanair,2023-03-13,2023-03-26,21:30,2023-03-27,00:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,1,87.24,FR~1916~ ~~CRL~03/26/2023 21:30~AGP~03/27/2023 00:15~~
Ryanair,2023-03-13,2023-03-27,19:20,2023-03-27,22:05,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,2,94.99,FR~1916~ ~~CRL~03/27/2023 19:20~AGP~03/27/2023 22:05~~
Ryanair,2023-03-13,2023-03-28,16:00,2023-03-28,18:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,73.24,FR~1916~ ~~CRL~03/28/2023 16:00~AGP~03/28/2023 18:45~~
Ryanair,2023-03-13,2023-03-29,06:45,2023-03-29,09:30,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,3,87.99,FR~1916~ ~~CRL~03/29/2023 06:45~AGP~03/29/2023 09:30~~
Ryanair,2023-03-13,2023-03-30,17:30,2023-03-30,20:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,5,154.09,FR~1916~ ~~CRL~03/30/2023 17:30~AGP~03/30/2023 20:15~~
Ryanair,2023-03-13,2023-03-31,10:00,2023-03-31,12:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,5,223.99,FR~1928~ ~~CRL~03/31/2023 10:00~AGP~03/31/2023 12:45~~
Ryanair,2023-03-13,2023-03-31,20:55,2023-03-31,23:40,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,1,185.99,FR~1916~ ~~CRL~03/31/2023 20:55~AGP~03/31/2023 23:40~~
Ryanair,2023-03-13,2023-04-01,13:35,2023-04-01,16:20,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,1,160.99,FR~1916~ ~~CRL~04/01/2023 13:35~AGP~04/01/2023 16:20~~
Ryanair,2023-03-13,2023-04-02,21:30,2023-04-03,00:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,3,152.92,FR~1916~ ~~CRL~04/02/2023 21:30~AGP~04/03/2023 00:15~~
Ryanair,2023-03-13,2023-04-03,19:20,2023-04-03,22:05,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,1,177.79,FR~1916~ ~~CRL~04/03/2023 19:20~AGP~04/03/2023 22:05~~
Ryanair,2023-03-13,2023-04-04,16:00,2023-04-04,18:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,139.99,FR~1916~ ~~CRL~04/04/2023 16:00~AGP~04/04/2023 18:45~~
Ryanair,2023-03-13,2023-04-05,06:45,2023-04-05,09:30,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,4,139.99,FR~1916~ ~~CRL~04/05/2023 06:45~AGP~04/05/2023 09:30~~
Ryanair,2023-03-13,2023-04-06,17:30,2023-04-06,20:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,5,156.27,FR~1916~ ~~CRL~04/06/2023 17:30~AGP~04/06/2023 20:15~~
Ryanair,2023-03-13,2023-04-07,10:00,2023-04-07,12:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,5,203.99,FR~1928~ ~~CRL~04/07/2023 10:00~AGP~04/07/2023 12:45~~
Ryanair,2023-03-13,2023-04-07,20:55,2023-04-07,23:40,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,155.27,FR~1916~ ~~CRL~04/07/2023 20:55~AGP~04/07/2023 23:40~~
Ryanair,2023-03-13,2023-04-08,13:35,2023-04-08,16:20,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,5,204.99,FR~1916~ ~~CRL~04/08/2023 13:35~AGP~04/08/2023 16:20~~
Ryanair,2023-03-13,2023-04-09,21:30,2023-04-10,00:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,185.99,FR~1916~ ~~CRL~04/09/2023 21:30~AGP~04/10/2023 00:15~~
Ryanair,2023-03-13,2023-04-10,19:20,2023-04-10,22:05,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,3,101.39,FR~1916~ ~~CRL~04/10/2023 19:20~AGP~04/10/2023 22:05~~
Ryanair,2023-03-13,2023-04-11,16:00,2023-04-11,18:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,1,115.79,FR~1916~ ~~CRL~04/11/2023 16:00~AGP~04/11/2023 18:45~~
Ryanair,2023-03-13,2023-04-12,06:45,2023-04-12,09:30,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,87.99,FR~1916~ ~~CRL~04/12/2023 06:45~AGP~04/12/2023 09:30~~
Ryanair,2023-03-13,2023-04-13,17:30,2023-04-13,20:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,99.8,FR~1916~ ~~CRL~04/13/2023 17:30~AGP~04/13/2023 20:15~~
Ryanair,2023-03-13,2023-04-14,10:00,2023-04-14,12:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1928,1,77.09,FR~1928~ ~~CRL~04/14/2023 10:00~AGP~04/14/2023 12:45~~
Ryanair,2023-03-13,2023-04-14,20:55,2023-04-14,23:40,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,2,67.12,FR~1916~ ~~CRL~04/14/2023 20:55~AGP~04/14/2023 23:40~~
Ryanair,2023-03-13,2023-04-15,13:35,2023-04-15,16:20,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,116.69,FR~1916~ ~~CRL~04/15/2023 13:35~AGP~04/15/2023 16:20~~
Ryanair,2023-03-13,2023-04-16,21:30,2023-04-17,00:15,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,51.69,FR~1916~ ~~CRL~04/16/2023 21:30~AGP~04/17/2023 00:15~~
Ryanair,2023-03-13,2023-04-17,19:20,2023-04-17,22:05,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,-1,44.99,FR~1916~ ~~CRL~04/17/2023 19:20~AGP~04/17/2023 22:05~~
Ryanair,2023-03-13,2023-04-18,16:00,2023-04-18,18:45,CRL,Brussels (Charleroi),AGP,Malaga,02:45,FR 1916,1,58.99,FR~1916~ ~~CRL~04/18/2023 16:00~AGP~04/18/2023 18:45~~
