airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-14,13:15,2023-03-14,15:40,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,0,71.49,FR~3534~ ~~CRL~03/14/2023 13:15~ALC~03/14/2023 15:40~~
Ryanair,2023-03-13,2023-03-14,20:30,2023-03-14,22:55,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,0,71.49,FR~9053~ ~~CRL~03/14/2023 20:30~ALC~03/14/2023 22:55~~
Ryanair,2023-03-13,2023-03-15,15:40,2023-03-15,18:05,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,3,193.49,FR~9053~ ~~CRL~03/15/2023 15:40~ALC~03/15/2023 18:05~~
Ryanair,2023-03-13,2023-03-16,07:40,2023-03-16,10:05,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,2,167.99,FR~9053~ ~~CRL~03/16/2023 07:40~ALC~03/16/2023 10:05~~
Ryanair,2023-03-13,2023-03-16,16:20,2023-03-16,18:45,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,3,197.24,FR~3534~ ~~CRL~03/16/2023 16:20~ALC~03/16/2023 18:45~~
Ryanair,2023-03-13,2023-03-17,16:40,2023-03-17,19:05,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,4,223.99,FR~9053~ ~~CRL~03/17/2023 16:40~ALC~03/17/2023 19:05~~
Ryanair,2023-03-13,2023-03-18,09:00,2023-03-18,11:25,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,1,167.99,FR~3534~ ~~CRL~03/18/2023 09:00~ALC~03/18/2023 11:25~~
Ryanair,2023-03-13,2023-03-18,20:35,2023-03-18,23:00,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,2,114.89,FR~9053~ ~~CRL~03/18/2023 20:35~ALC~03/18/2023 23:00~~
Ryanair,2023-03-13,2023-03-19,13:30,2023-03-19,15:55,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,4,152.92,FR~3534~ ~~CRL~03/19/2023 13:30~ALC~03/19/2023 15:55~~
Ryanair,2023-03-13,2023-03-19,16:30,2023-03-19,18:55,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,-1,114.89,FR~9053~ ~~CRL~03/19/2023 16:30~ALC~03/19/2023 18:55~~
Ryanair,2023-03-13,2023-03-20,15:05,2023-03-20,17:30,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,1,99.8,FR~9053~ ~~CRL~03/20/2023 15:05~ALC~03/20/2023 17:30~~
Ryanair,2023-03-13,2023-03-21,13:15,2023-03-21,15:40,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,4,128.87,FR~3534~ ~~CRL~03/21/2023 13:15~ALC~03/21/2023 15:40~~
Ryanair,2023-03-13,2023-03-21,20:30,2023-03-21,22:55,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,4,120.99,FR~9053~ ~~CRL~03/21/2023 20:30~ALC~03/21/2023 22:55~~
Ryanair,2023-03-13,2023-03-22,15:40,2023-03-22,18:05,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,5,104.99,FR~9053~ ~~CRL~03/22/2023 15:40~ALC~03/22/2023 18:05~~
Ryanair,2023-03-13,2023-03-23,07:40,2023-03-23,10:05,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,5,120.99,FR~9053~ ~~CRL~03/23/2023 07:40~ALC~03/23/2023 10:05~~
Ryanair,2023-03-13,2023-03-23,16:20,2023-03-23,18:45,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,5,114.89,FR~3534~ ~~CRL~03/23/2023 16:20~ALC~03/23/2023 18:45~~
Ryanair,2023-03-13,2023-03-24,16:40,2023-03-24,19:05,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,-1,154.09,FR~9053~ ~~CRL~03/24/2023 16:40~ALC~03/24/2023 19:05~~
Ryanair,2023-03-13,2023-03-25,09:00,2023-03-25,11:25,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,3,111.74,FR~3534~ ~~CRL~03/25/2023 09:00~ALC~03/25/2023 11:25~~
Ryanair,2023-03-13,2023-03-25,20:35,2023-03-25,23:00,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,-1,100.59,FR~9053~ ~~CRL~03/25/2023 20:35~ALC~03/25/2023 23:00~~
Ryanair,2023-03-13,2023-03-26,09:55,2023-03-26,12:20,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,2,145.87,FR~3534~ ~~CRL~03/26/2023 09:55~ALC~03/26/2023 12:20~~
Ryanair,2023-03-13,2023-03-27,16:55,2023-03-27,19:20,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,3,115.79,FR~3534~ ~~CRL~03/27/2023 16:55~ALC~03/27/2023 19:20~~
Ryanair,2023-03-13,2023-03-28,06:30,2023-03-28,08:55,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,2,99.8,FR~3534~ ~~CRL~03/28/2023 06:30~ALC~03/28/2023 08:55~~
Ryanair,2023-03-13,2023-03-28,12:15,2023-03-28,14:40,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,2,82.74,FR~9053~ ~~CRL~03/28/2023 12:15~ALC~03/28/2023 14:40~~
Ryanair,2023-03-13,2023-03-29,10:00,2023-03-29,12:25,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,3,99.8,FR~3534~ ~~CRL~03/29/2023 10:00~ALC~03/29/2023 12:25~~
Ryanair,2023-03-13,2023-03-29,14:45,2023-03-29,17:10,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,2,114.89,FR~9053~ ~~CRL~03/29/2023 14:45~ALC~03/29/2023 17:10~~
Ryanair,2023-03-13,2023-03-29,21:55,2023-03-30,00:20,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 6063,-1,87.99,FR~6063~ ~~CRL~03/29/2023 21:55~ALC~03/30/2023 00:20~~
Ryanair,2023-03-13,2023-03-30,09:00,2023-03-30,11:25,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,4,113.99,FR~9053~ ~~CRL~03/30/2023 09:00~ALC~03/30/2023 11:25~~
Ryanair,2023-03-13,2023-03-30,15:05,2023-03-30,17:30,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,4,115.79,FR~3534~ ~~CRL~03/30/2023 15:05~ALC~03/30/2023 17:30~~
Ryanair,2023-03-13,2023-03-31,09:45,2023-03-31,12:10,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,4,139.99,FR~3534~ ~~CRL~03/31/2023 09:45~ALC~03/31/2023 12:10~~
Ryanair,2023-03-13,2023-03-31,17:20,2023-03-31,19:45,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 9053,5,177.79,FR~9053~ ~~CRL~03/31/2023 17:20~ALC~03/31/2023 19:45~~
Ryanair,2023-03-13,2023-04-01,15:50,2023-04-01,18:15,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,2,236.59,FR~3534~ ~~CRL~04/01/2023 15:50~ALC~04/01/2023 18:15~~
Ryanair,2023-03-13,2023-04-02,09:55,2023-04-02,12:20,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,5,185.99,FR~3534~ ~~CRL~04/02/2023 09:55~ALC~04/02/2023 12:20~~
Ryanair,2023-03-13,2023-04-03,16:55,2023-04-03,19:20,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,-1,176.4,FR~3534~ ~~CRL~04/03/2023 16:55~ALC~04/03/2023 19:20~~
Ryanair,2023-03-13,2023-04-04,06:30,2023-04-04,08:55,CRL,Brussels (Charleroi),ALC,Alicante,02:25,FR 3534,5,120.99,FR~3534~ ~~CRL~04/04/2023 06:30~ALC~04/04/2023 08:55~~
