airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-14,06:20,2023-03-14,08:50,CRL,Brussels (Charleroi),BDS,Brindisi,02:30,FR 7737,-1,70.99,FR~7737~ ~~CRL~03/14/2023 06:20~BDS~03/14/2023 08:50~~
Ryanair,2023-03-13,2023-03-18,13:15,2023-03-18,15:45,CRL,Brussels (Charleroi),BDS,Brindisi,02:30,FR 7737,1,81.99,FR~7737~ ~~CRL~03/18/2023 13:15~BDS~03/18/2023 15:45~~
Ryanair,2023-03-13,2023-03-21,06:20,2023-03-21,08:50,CRL,Brussels (Charleroi),BDS,Brindisi,02:30,FR 7737,2,41.22,FR~7737~ ~~CRL~03/21/2023 06:20~BDS~03/21/2023 08:50~~
Ryanair,2023-03-13,2023-03-25,13:15,2023-03-25,15:45,CRL,Brussels (Charleroi),BDS,Brindisi,02:30,FR 7737,5,109.99,FR~7737~ ~~CRL~03/25/2023 13:15~BDS~03/25/2023 15:45~~
Ryanair,2023-03-13,2023-03-26,17:30,2023-03-26,19:55,CRL,Brussels (Charleroi),BDS,Brindisi,02:25,FR 7737,5,43.44,FR~7737~ ~~CRL~03/26/2023 17:30~BDS~03/26/2023 19:55~~
Ryanair,2023-03-13,2023-03-27,20:55,2023-03-27,23:20,CRL,Brussels (Charleroi),BDS,Brindisi,02:25,FR 7737,-1,16.99,FR~7737~ ~~CRL~03/27/2023 20:55~BDS~03/27/2023 23:20~~
Ryanair,2023-03-13,2023-03-28,17:20,2023-03-28,19:45,CRL,Brussels (Charleroi),BDS,Brindisi,02:25,FR 7737,2,32.18,FR~7737~ ~~CRL~03/28/2023 17:20~BDS~03/28/2023 19:45~~
Ryanair,2023-03-13,2023-03-31,07:00,2023-03-31,09:25,CRL,Brussels (Charleroi),BDS,Brindisi,02:25,FR 7737,4,121.87,FR~7737~ ~~CRL~03/31/2023 07:00~BDS~03/31/2023 09:25~~
Ryanair,2023-03-13,2023-04-02,17:30,2023-04-02,19:55,CRL,Brussels (Charleroi),BDS,Brindisi,02:25,FR 7737,2,120.88,FR~7737~ ~~CRL~04/02/2023 17:30~BDS~04/02/2023 19:55~~
Ryanair,2023-03-13,2023-04-03,20:55,2023-04-03,23:20,CRL,Brussels (Charleroi),BDS,Brindisi,02:25,FR 7737,4,67.54,FR~7737~ ~~CRL~04/03/2023 20:55~BDS~04/03/2023 23:20~~
