airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-16,16:30,2023-03-16,18:25,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,4,202.49,FR~6312~ ~~CRL~03/16/2023 16:30~FAO~03/16/2023 18:25~~
Ryanair,2023-03-13,2023-03-19,07:05,2023-03-19,09:00,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,5,90.99,FR~6312~ ~~CRL~03/19/2023 07:05~FAO~03/19/2023 09:00~~
Ryanair,2023-03-13,2023-03-20,07:55,2023-03-20,09:50,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,1,100.59,FR~6312~ ~~CRL~03/20/2023 07:55~FAO~03/20/2023 09:50~~
Ryanair,2023-03-13,2023-03-23,16:30,2023-03-23,18:25,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,3,120.99,FR~6312~ ~~CRL~03/23/2023 16:30~FAO~03/23/2023 18:25~~
Ryanair,2023-03-13,2023-03-26,16:45,2023-03-26,18:40,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,-1,90.99,FR~2941~ ~~CRL~03/26/2023 16:45~FAO~03/26/2023 18:40~~
Ryanair,2023-03-13,2023-03-27,18:00,2023-03-27,19:55,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,-1,50.22,FR~2941~ ~~CRL~03/27/2023 18:00~FAO~03/27/2023 19:55~~
Ryanair,2023-03-13,2023-03-28,13:45,2023-03-28,15:40,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,2,50.99,FR~2941~ ~~CRL~03/28/2023 13:45~FAO~03/28/2023 15:40~~
Ryanair,2023-03-13,2023-03-28,16:45,2023-03-28,18:40,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,5,104.99,FR~6312~ ~~CRL~03/28/2023 16:45~FAO~03/28/2023 18:40~~
Ryanair,2023-03-13,2023-03-29,12:25,2023-03-29,14:20,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,-1,65.24,FR~2941~ ~~CRL~03/29/2023 12:25~FAO~03/29/2023 14:20~~
Ryanair,2023-03-13,2023-03-29,16:20,2023-03-29,18:15,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,5,65.87,FR~6312~ ~~CRL~03/29/2023 16:20~FAO~03/29/2023 18:15~~
Ryanair,2023-03-13,2023-03-30,11:25,2023-03-30,13:20,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,-1,87.24,FR~2941~ ~~CRL~03/30/2023 11:25~FAO~03/30/2023 13:20~~
Ryanair,2023-03-13,2023-03-31,07:05,2023-03-31,09:00,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,1,133.59,FR~2941~ ~~CRL~03/31/2023 07:05~FAO~03/31/2023 09:00~~
Ryanair,2023-03-13,2023-03-31,17:30,2023-03-31,19:25,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 6312,5,104.99,FR~6312~ ~~CRL~03/31/2023 17:30~FAO~03/31/2023 19:25~~
Ryanair,2023-03-13,2023-04-01,11:05,2023-04-01,13:00,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,1,197.24,FR~2941~ ~~CRL~04/01/2023 11:05~FAO~04/01/2023 13:00~~
Ryanair,2023-03-13,2023-04-02,16:45,2023-04-02,18:40,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,-1,100.59,FR~2941~ ~~CRL~04/02/2023 16:45~FAO~04/02/2023 18:40~~
Ryanair,2023-03-13,2023-04-03,18:00,2023-04-03,19:55,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,1,87.99,FR~2941~ ~~CRL~04/03/2023 18:00~FAO~04/03/2023 19:55~~
Ryanair,2023-03-13,2023-04-04,13:45,2023-04-04,15:40,CRL,Brussels (Charleroi),FAO,Faro,02:55,FR 2941,-1,104.99,FR~2941~ ~~CRL~04/04/2023 13:45~FAO~04/04/2023 15:40~~
