airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-28,07:20,2023-03-28,11:45,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,5,91.59,FR~7986~ ~~CRL~03/28/2023 07:20~HER~03/28/2023 11:45~~
Ryanair,2023-03-13,2023-04-01,08:10,2023-04-01,12:35,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,1,304.85,FR~7986~ ~~CRL~04/01/2023 08:10~HER~04/01/2023 12:35~~
Ryanair,2023-03-13,2023-04-04,07:20,2023-04-04,11:45,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,3,120.17,FR~7986~ ~~CRL~04/04/2023 07:20~HER~04/04/2023 11:45~~
Ryanair,2023-03-13,2023-04-08,08:10,2023-04-08,12:35,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,1,138.47,FR~7986~ ~~CRL~04/08/2023 08:10~HER~04/08/2023 12:35~~
Ryanair,2023-03-13,2023-04-11,07:20,2023-04-11,11:45,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,-1,95.99,FR~7986~ ~~CRL~04/11/2023 07:20~HER~04/11/2023 11:45~~
Ryanair,2023-03-13,2023-04-15,08:10,2023-04-15,12:35,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,-1,168.19,FR~7986~ ~~CRL~04/15/2023 08:10~HER~04/15/2023 12:35~~
Ryanair,2023-03-13,2023-04-18,07:20,2023-04-18,11:45,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,4,83.21,FR~7986~ ~~CRL~04/18/2023 07:20~HER~04/18/2023 11:45~~
Ryanair,2023-03-13,2023-04-22,08:10,2023-04-22,12:35,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,-1,305.85,FR~7986~ ~~CRL~04/22/2023 08:10~HER~04/22/2023 12:35~~
Ryanair,2023-03-13,2023-04-25,07:20,2023-04-25,11:45,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,2,136.55,FR~7986~ ~~CRL~04/25/2023 07:20~HER~04/25/2023 11:45~~
Ryanair,2023-03-13,2023-04-29,08:10,2023-04-29,12:35,CRL,Brussels (Charleroi),HER,Heraklion Crete,03:25,FR 7986,1,324.22,FR~7986~ ~~CRL~04/29/2023 08:10~HER~04/29/2023 12:35~~
