airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-15,13:40,2023-03-15,15:45,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,2,203.99,FR~7831~ ~~CRL~03/15/2023 13:40~PMI~03/15/2023 15:45~~
Ryanair,2023-03-13,2023-03-17,21:00,2023-03-17,23:05,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,5,202.49,FR~7831~ ~~CRL~03/17/2023 21:00~PMI~03/17/2023 23:05~~
Ryanair,2023-03-13,2023-03-18,17:20,2023-03-18,19:25,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,3,200.99,FR~7831~ ~~CRL~03/18/2023 17:20~PMI~03/18/2023 19:25~~
Ryanair,2023-03-13,2023-03-19,09:25,2023-03-19,11:30,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,3,114.89,FR~7831~ ~~CRL~03/19/2023 09:25~PMI~03/19/2023 11:30~~
Ryanair,2023-03-13,2023-03-22,13:40,2023-03-22,15:45,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,1,100.59,FR~7831~ ~~CRL~03/22/2023 13:40~PMI~03/22/2023 15:45~~
Ryanair,2023-03-13,2023-03-24,21:00,2023-03-24,23:05,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,5,200.99,FR~7831~ ~~CRL~03/24/2023 21:00~PMI~03/24/2023 23:05~~
Ryanair,2023-03-13,2023-03-25,17:20,2023-03-25,19:25,CRL,Brussels (Charleroi),PMI,Mallorca,02:05,FR 7831,2,87.99,FR~7831~ ~~CRL~03/25/2023 17:20~PMI~03/25/2023 19:25~~
Ryanair,2023-03-13,2023-03-27,08:55,2023-03-27,11:05,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,3,31.79,FR~7831~ ~~CRL~03/27/2023 08:55~PMI~03/27/2023 11:05~~
Ryanair,2023-03-13,2023-03-28,06:35,2023-03-28,08:45,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,-1,16.99,FR~7831~ ~~CRL~03/28/2023 06:35~PMI~03/28/2023 08:45~~
Ryanair,2023-03-13,2023-03-29,06:55,2023-03-29,09:05,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,-1,16.99,FR~7831~ ~~CRL~03/29/2023 06:55~PMI~03/29/2023 09:05~~
Ryanair,2023-03-13,2023-03-30,17:45,2023-03-30,19:55,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,2,76.39,FR~7831~ ~~CRL~03/30/2023 17:45~PMI~03/30/2023 19:55~~
Ryanair,2023-03-13,2023-04-01,17:20,2023-04-01,19:30,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,1,116.69,FR~7831~ ~~CRL~04/01/2023 17:20~PMI~04/01/2023 19:30~~
Ryanair,2023-03-13,2023-04-03,08:55,2023-04-03,11:05,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,-1,100.59,FR~7831~ ~~CRL~04/03/2023 08:55~PMI~04/03/2023 11:05~~
Ryanair,2023-03-13,2023-04-04,06:35,2023-04-04,08:45,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,1,77.09,FR~7831~ ~~CRL~04/04/2023 06:35~PMI~04/04/2023 08:45~~
Ryanair,2023-03-13,2023-04-05,06:55,2023-04-05,09:05,CRL,Brussels (Charleroi),PMI,Mallorca,02:10,FR 7831,3,57.59,FR~7831~ ~~CRL~04/05/2023 06:55~PMI~04/05/2023 09:05~~
