airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-16,06:20,2023-03-16,08:50,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,2,128.36,FR~9140~ ~~CRL~03/16/2023 06:20~PMO~03/16/2023 08:50~~
Ryanair,2023-03-13,2023-03-17,06:20,2023-03-17,08:50,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,4,196.63,FR~9140~ ~~CRL~03/17/2023 06:20~PMO~03/17/2023 08:50~~
Ryanair,2023-03-13,2023-03-18,16:05,2023-03-18,18:35,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,2,94.63,FR~9140~ ~~CRL~03/18/2023 16:05~PMO~03/18/2023 18:35~~
Ryanair,2023-03-13,2023-03-19,16:55,2023-03-19,19:25,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,1,74.99,FR~9140~ ~~CRL~03/19/2023 16:55~PMO~03/19/2023 19:25~~
Ryanair,2023-03-13,2023-03-20,16:50,2023-03-20,19:20,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,3,85.99,FR~9140~ ~~CRL~03/20/2023 16:50~PMO~03/20/2023 19:20~~
Ryanair,2023-03-13,2023-03-23,06:20,2023-03-23,08:50,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,4,95.41,FR~9140~ ~~CRL~03/23/2023 06:20~PMO~03/23/2023 08:50~~
Ryanair,2023-03-13,2023-03-24,06:20,2023-03-24,08:50,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,1,72.53,FR~9140~ ~~CRL~03/24/2023 06:20~PMO~03/24/2023 08:50~~
Ryanair,2023-03-13,2023-03-25,16:05,2023-03-25,18:35,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 9140,-1,94.63,FR~9140~ ~~CRL~03/25/2023 16:05~PMO~03/25/2023 18:35~~
Ryanair,2023-03-13,2023-03-27,12:05,2023-03-27,14:35,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,2,126.29,FR~6269~ ~~CRL~03/27/2023 12:05~PMO~03/27/2023 14:35~~
Ryanair,2023-03-13,2023-03-28,15:35,2023-03-28,18:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,1,63.31,FR~6269~ ~~CRL~03/28/2023 15:35~PMO~03/28/2023 18:05~~
Ryanair,2023-03-13,2023-03-29,09:25,2023-03-29,11:55,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,1,60.57,FR~6269~ ~~CRL~03/29/2023 09:25~PMO~03/29/2023 11:55~~
Ryanair,2023-03-13,2023-03-31,16:35,2023-03-31,19:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,4,146.7,FR~6269~ ~~CRL~03/31/2023 16:35~PMO~03/31/2023 19:05~~
Ryanair,2023-03-13,2023-04-01,21:30,2023-04-01,23:59,CRL,Brussels (Charleroi),PMO,Palermo,02:29,FR 6269,-1,172.8,FR~6269~ ~~CRL~04/01/2023 21:30~PMO~04/01/2023 23:59~~
Ryanair,2023-03-13,2023-04-03,12:05,2023-04-03,14:35,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,4,145.54,FR~6269~ ~~CRL~04/03/2023 12:05~PMO~04/03/2023 14:35~~
Ryanair,2023-03-13,2023-04-04,15:35,2023-04-04,18:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,-1,220.27,FR~6269~ ~~CRL~04/04/2023 15:35~PMO~04/04/2023 18:05~~
Ryanair,2023-03-13,2023-04-05,09:25,2023-04-05,11:55,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,4,170.06,FR~6269~ ~~CRL~04/05/2023 09:25~PMO~04/05/2023 11:55~~
Ryanair,2023-03-13,2023-04-07,16:35,2023-04-07,19:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,5,172.8,FR~6269~ ~~CRL~04/07/2023 16:35~PMO~04/07/2023 19:05~~
Ryanair,2023-03-13,2023-04-08,21:30,2023-04-08,23:59,CRL,Brussels (Charleroi),PMO,Palermo,02:29,FR 6269,2,99.99,FR~6269~ ~~CRL~04/08/2023 21:30~PMO~04/08/2023 23:59~~
Ryanair,2023-03-13,2023-04-10,12:05,2023-04-10,14:35,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,-1,127.33,FR~6269~ ~~CRL~04/10/2023 12:05~PMO~04/10/2023 14:35~~
Ryanair,2023-03-13,2023-04-11,15:35,2023-04-11,18:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,2,63.92,FR~6269~ ~~CRL~04/11/2023 15:35~PMO~04/11/2023 18:05~~
Ryanair,2023-03-13,2023-04-12,09:25,2023-04-12,11:55,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,-1,46.65,FR~6269~ ~~CRL~04/12/2023 09:25~PMO~04/12/2023 11:55~~
Ryanair,2023-03-13,2023-04-14,16:35,2023-04-14,19:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,4,84.55,FR~6269~ ~~CRL~04/14/2023 16:35~PMO~04/14/2023 19:05~~
Ryanair,2023-03-13,2023-04-15,21:30,2023-04-15,23:59,CRL,Brussels (Charleroi),PMO,Palermo,02:29,FR 6269,4,96.2,FR~6269~ ~~CRL~04/15/2023 21:30~PMO~04/15/2023 23:59~~
Ryanair,2023-03-13,2023-04-17,12:05,2023-04-17,14:35,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,3,61.57,FR~6269~ ~~CRL~04/17/2023 12:05~PMO~04/17/2023 14:35~~
Ryanair,2023-03-13,2023-04-18,15:35,2023-04-18,18:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,-1,55.99,FR~6269~ ~~CRL~04/18/2023 15:35~PMO~04/18/2023 18:05~~
Ryanair,2023-03-13,2023-04-19,09:25,2023-04-19,11:55,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,5,84.81,FR~6269~ ~~CRL~04/19/2023 09:25~PMO~04/19/2023 11:55~~
Ryanair,2023-03-13,2023-04-21,16:35,2023-04-21,19:05,CRL,Brussels (Charleroi),PMO,Palermo,02:30,FR 6269,-1,84.08,FR~6269~ ~~CRL~04/21/2023 16:35~PMO~04/21/2023 19:05~~
Ryanair,2023-03-13,2023-04-22,21:30,2023-04-22,23:59,CRL,Brussels (Charleroi),PMO,Palermo,02:29,FR 6269,2,112.5,FR~6269~ ~~CRL~04/22/2023 21:30~PMO~04/22/2023 23:59~~
