airline company,search_date,departure_date,departure_time,arrival_date,arrival_time,departure_aircode,departure_airport,arrival_aicode,arrival_airport,flight_duration,flight_number,available_seats,price,flight_key
Ryanair,2023-03-13,2023-03-27,12:00,2023-03-27,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,50.94,FR~8577~ ~~CRL~03/27/2023 12:00~RHO~03/27/2023 16:35~~
Ryanair,2023-03-13,2023-03-29,13:10,2023-03-29,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,4,50.94,FR~8577~ ~~CRL~03/29/2023 13:10~RHO~03/29/2023 17:45~~
Ryanair,2023-03-13,2023-03-31,07:55,2023-03-31,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,95.73,FR~8577~ ~~CRL~03/31/2023 07:55~RHO~03/31/2023 12:30~~
Ryanair,2023-03-13,2023-04-03,12:00,2023-04-03,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,5,197.36,FR~8577~ ~~CRL~04/03/2023 12:00~RHO~04/03/2023 16:35~~
Ryanair,2023-03-13,2023-04-05,13:10,2023-04-05,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,138.39,FR~8577~ ~~CRL~04/05/2023 13:10~RHO~04/05/2023 17:45~~
Ryanair,2023-03-13,2023-04-07,07:55,2023-04-07,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,102.99,FR~8577~ ~~CRL~04/07/2023 07:55~RHO~04/07/2023 12:30~~
Ryanair,2023-03-13,2023-04-10,12:00,2023-04-10,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,5,65.35,FR~8577~ ~~CRL~04/10/2023 12:00~RHO~04/10/2023 16:35~~
Ryanair,2023-03-13,2023-04-12,13:10,2023-04-12,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,78.99,FR~8577~ ~~CRL~04/12/2023 13:10~RHO~04/12/2023 17:45~~
Ryanair,2023-03-13,2023-04-14,07:55,2023-04-14,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,59.05,FR~8577~ ~~CRL~04/14/2023 07:55~RHO~04/14/2023 12:30~~
Ryanair,2023-03-13,2023-04-17,12:00,2023-04-17,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,59.55,FR~8577~ ~~CRL~04/17/2023 12:00~RHO~04/17/2023 16:35~~
Ryanair,2023-03-13,2023-04-19,13:10,2023-04-19,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,60.05,FR~8577~ ~~CRL~04/19/2023 13:10~RHO~04/19/2023 17:45~~
Ryanair,2023-03-13,2023-04-21,07:55,2023-04-21,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,131.28,FR~8577~ ~~CRL~04/21/2023 07:55~RHO~04/21/2023 12:30~~
Ryanair,2023-03-13,2023-04-24,12:00,2023-04-24,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,232.99,FR~8577~ ~~CRL~04/24/2023 12:00~RHO~04/24/2023 16:35~~
Ryanair,2023-03-13,2023-04-26,13:10,2023-04-26,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,195.38,FR~8577~ ~~CRL~04/26/2023 13:10~RHO~04/26/2023 17:45~~
Ryanair,2023-03-13,2023-04-28,07:55,2023-04-28,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,314.22,FR~8577~ ~~CRL~04/28/2023 07:55~RHO~04/28/2023 12:30~~
Ryanair,2023-03-13,2023-05-01,12:00,2023-05-01,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,177.99,FR~8577~ ~~CRL~05/01/2023 12:00~RHO~05/01/2023 16:35~~
Ryanair,2023-03-13,2023-05-03,13:10,2023-05-03,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,210.94,FR~8577~ ~~CRL~05/03/2023 13:10~RHO~05/03/2023 17:45~~
Ryanair,2023-03-13,2023-05-05,07:55,2023-05-05,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,154.99,FR~8577~ ~~CRL~05/05/2023 07:55~RHO~05/05/2023 12:30~~
Ryanair,2023-03-13,2023-05-08,12:00,2023-05-08,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,1,125.08,FR~8577~ ~~CRL~05/08/2023 12:00~RHO~05/08/2023 16:35~~
Ryanair,2023-03-13,2023-05-10,13:10,2023-05-10,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,128.39,FR~8577~ ~~CRL~05/10/2023 13:10~RHO~05/10/2023 17:45~~
Ryanair,2023-03-13,2023-05-12,07:55,2023-05-12,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,5,222.07,FR~8577~ ~~CRL~05/12/2023 07:55~RHO~05/12/2023 12:30~~
Ryanair,2023-03-13,2023-05-15,12:00,2023-05-15,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,154.99,FR~8577~ ~~CRL~05/15/2023 12:00~RHO~05/15/2023 16:35~~
Ryanair,2023-03-13,2023-05-17,13:10,2023-05-17,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,168.58,FR~8577~ ~~CRL~05/17/2023 13:10~RHO~05/17/2023 17:45~~
Ryanair,2023-03-13,2023-05-19,07:55,2023-05-19,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,122.72,FR~8577~ ~~CRL~05/19/2023 07:55~RHO~05/19/2023 12:30~~
Ryanair,2023-03-13,2023-05-22,12:00,2023-05-22,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,98.74,FR~8577~ ~~CRL~05/22/2023 12:00~RHO~05/22/2023 16:35~~
Ryanair,2023-03-13,2023-05-24,13:10,2023-05-24,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,78.99,FR~8577~ ~~CRL~05/24/2023 13:10~RHO~05/24/2023 17:45~~
Ryanair,2023-03-13,2023-05-26,07:55,2023-05-26,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,87.93,FR~8577~ ~~CRL~05/26/2023 07:55~RHO~05/26/2023 12:30~~
Ryanair,2023-03-13,2023-05-29,12:00,2023-05-29,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,77.71,FR~8577~ ~~CRL~05/29/2023 12:00~RHO~05/29/2023 16:35~~
Ryanair,2023-03-13,2023-05-31,13:10,2023-05-31,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,89.99,FR~8577~ ~~CRL~05/31/2023 13:10~RHO~05/31/2023 17:45~~
Ryanair,2023-03-13,2023-06-02,07:55,2023-06-02,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,109.33,FR~8577~ ~~CRL~06/02/2023 07:55~RHO~06/02/2023 12:30~~
Ryanair,2023-03-13,2023-06-05,12:00,2023-06-05,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,78.99,FR~8577~ ~~CRL~06/05/2023 12:00~RHO~06/05/2023 16:35~~
Ryanair,2023-03-13,2023-06-07,13:10,2023-06-07,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,84.03,FR~8577~ ~~CRL~06/07/2023 13:10~RHO~06/07/2023 17:45~~
Ryanair,2023-03-13,2023-06-09,07:55,2023-06-09,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,130.28,FR~8577~ ~~CRL~06/09/2023 07:55~RHO~06/09/2023 12:30~~
Ryanair,2023-03-13,2023-06-12,12:00,2023-06-12,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,94.97,FR~8577~ ~~CRL~06/12/2023 12:00~RHO~06/12/2023 16:35~~
Ryanair,2023-03-13,2023-06-14,13:10,2023-06-14,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,68.99,FR~8577~ ~~CRL~06/14/2023 13:10~RHO~06/14/2023 17:45~~
Ryanair,2023-03-13,2023-06-16,07:55,2023-06-16,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,117.99,FR~8577~ ~~CRL~06/16/2023 07:55~RHO~06/16/2023 12:30~~
Ryanair,2023-03-13,2023-06-19,12:00,2023-06-19,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,4,113.13,FR~8577~ ~~CRL~06/19/2023 12:00~RHO~06/19/2023 16:35~~
Ryanair,2023-03-13,2023-06-21,13:10,2023-06-21,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,109.33,FR~8577~ ~~CRL~06/21/2023 13:10~RHO~06/21/2023 17:45~~
Ryanair,2023-03-13,2023-06-23,07:55,2023-06-23,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,148.31,FR~8577~ ~~CRL~06/23/2023 07:55~RHO~06/23/2023 12:30~~
Ryanair,2023-03-13,2023-06-26,12:00,2023-06-26,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,117.99,FR~8577~ ~~CRL~06/26/2023 12:00~RHO~06/26/2023 16:35~~
Ryanair,2023-03-13,2023-06-28,13:10,2023-06-28,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,128.39,FR~8577~ ~~CRL~06/28/2023 13:10~RHO~06/28/2023 17:45~~
Ryanair,2023-03-13,2023-06-30,07:55,2023-06-30,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,5,171.05,FR~8577~ ~~CRL~06/30/2023 07:55~RHO~06/30/2023 12:30~~
Ryanair,2023-03-13,2023-07-03,12:00,2023-07-03,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,177.99,FR~8577~ ~~CRL~07/03/2023 12:00~RHO~07/03/2023 16:35~~
Ryanair,2023-03-13,2023-07-05,13:10,2023-07-05,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,185.44,FR~8577~ ~~CRL~07/05/2023 13:10~RHO~07/05/2023 17:45~~
Ryanair,2023-03-13,2023-07-07,07:55,2023-07-07,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,5,247.17,FR~8577~ ~~CRL~07/07/2023 07:55~RHO~07/07/2023 12:30~~
Ryanair,2023-03-13,2023-07-10,12:00,2023-07-10,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,197.36,FR~8577~ ~~CRL~07/10/2023 12:00~RHO~07/10/2023 16:35~~
Ryanair,2023-03-13,2023-07-12,13:10,2023-07-12,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,2,185.44,FR~8577~ ~~CRL~07/12/2023 13:10~RHO~07/12/2023 17:45~~
Ryanair,2023-03-13,2023-07-14,07:55,2023-07-14,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,202.99,FR~8577~ ~~CRL~07/14/2023 07:55~RHO~07/14/2023 12:30~~
Ryanair,2023-03-13,2023-07-17,12:00,2023-07-17,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,1,222.07,FR~8577~ ~~CRL~07/17/2023 12:00~RHO~07/17/2023 16:35~~
Ryanair,2023-03-13,2023-07-19,13:10,2023-07-19,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,255.67,FR~8577~ ~~CRL~07/19/2023 13:10~RHO~07/19/2023 17:45~~
Ryanair,2023-03-13,2023-07-21,07:55,2023-07-21,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,154.99,FR~8577~ ~~CRL~07/21/2023 07:55~RHO~07/21/2023 12:30~~
Ryanair,2023-03-13,2023-07-24,12:00,2023-07-24,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,177.99,FR~8577~ ~~CRL~07/24/2023 12:00~RHO~07/24/2023 16:35~~
Ryanair,2023-03-13,2023-07-26,13:10,2023-07-26,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,1,148.2,FR~8577~ ~~CRL~07/26/2023 13:10~RHO~07/26/2023 17:45~~
Ryanair,2023-03-13,2023-07-28,07:55,2023-07-28,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,190.17,FR~8577~ ~~CRL~07/28/2023 07:55~RHO~07/28/2023 12:30~~
Ryanair,2023-03-13,2023-07-31,12:00,2023-07-31,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,255.67,FR~8577~ ~~CRL~07/31/2023 12:00~RHO~07/31/2023 16:35~~
Ryanair,2023-03-13,2023-08-02,13:10,2023-08-02,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,1,175.76,FR~8577~ ~~CRL~08/02/2023 13:10~RHO~08/02/2023 17:45~~
Ryanair,2023-03-13,2023-08-04,07:55,2023-08-04,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,130.33,FR~8577~ ~~CRL~08/04/2023 07:55~RHO~08/04/2023 12:30~~
Ryanair,2023-03-13,2023-08-07,12:00,2023-08-07,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,134.99,FR~8577~ ~~CRL~08/07/2023 12:00~RHO~08/07/2023 16:35~~
Ryanair,2023-03-13,2023-08-09,13:10,2023-08-09,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,167.11,FR~8577~ ~~CRL~08/09/2023 13:10~RHO~08/09/2023 17:45~~
Ryanair,2023-03-13,2023-08-11,07:55,2023-08-11,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,102.99,FR~8577~ ~~CRL~08/11/2023 07:55~RHO~08/11/2023 12:30~~
Ryanair,2023-03-13,2023-08-14,12:00,2023-08-14,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,117.99,FR~8577~ ~~CRL~08/14/2023 12:00~RHO~08/14/2023 16:35~~
Ryanair,2023-03-13,2023-08-16,13:10,2023-08-16,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,59.05,FR~8577~ ~~CRL~08/16/2023 13:10~RHO~08/16/2023 17:45~~
Ryanair,2023-03-13,2023-08-18,07:55,2023-08-18,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,102.99,FR~8577~ ~~CRL~08/18/2023 07:55~RHO~08/18/2023 12:30~~
Ryanair,2023-03-13,2023-08-21,12:00,2023-08-21,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,52.99,FR~8577~ ~~CRL~08/21/2023 12:00~RHO~08/21/2023 16:35~~
Ryanair,2023-03-13,2023-08-23,13:10,2023-08-23,17:45,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,63.56,FR~8577~ ~~CRL~08/23/2023 13:10~RHO~08/23/2023 17:45~~
Ryanair,2023-03-13,2023-08-25,07:55,2023-08-25,12:30,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,-1,68.99,FR~8577~ ~~CRL~08/25/2023 07:55~RHO~08/25/2023 12:30~~
Ryanair,2023-03-13,2023-08-28,12:00,2023-08-28,16:35,CRL,Brussels (Charleroi),RHO,Rhodes,03:35,FR 8577,3,45.99,FR~8577~ ~~CRL~08/28/2023 12:00~RHO~08/28/2023 16:35~~
