search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-01,2023-04-01,13:20,16:25,ANR,AGP,3u 5m,Direct,TB1003,10,379.99,TB~1003~ ~ANR~2023-04-01 13:20~AGP~2023-04-01 16:25~
2023-03-08,2023-04-02,2023-04-02,06:30,09:35,ANR,AGP,3u 5m,Direct,TB1001,10,229.99,TB~1001~ ~ANR~2023-04-02 06:30~AGP~2023-04-02 09:35~
2023-03-08,2023-04-03,2023-04-03,06:45,09:50,ANR,AGP,3u 5m,Direct,TB1001,10,199.99,TB~1001~ ~ANR~2023-04-03 06:45~AGP~2023-04-03 09:50~
2023-03-08,2023-04-03,2023-04-03,14:05,17:10,ANR,AGP,3u 5m,Direct,TB1003,10,209.99,TB~1003~ ~ANR~2023-04-03 14:05~AGP~2023-04-03 17:10~
2023-03-08,2023-04-04,2023-04-04,14:15,17:20,ANR,AGP,3u 5m,Direct,TB1003,10,184.99,TB~1003~ ~ANR~2023-04-04 14:15~AGP~2023-04-04 17:20~
2023-03-08,2023-04-08,2023-04-08,13:20,16:25,ANR,AGP,3u 5m,Direct,TB1003,10,269.99,TB~1003~ ~ANR~2023-04-08 13:20~AGP~2023-04-08 16:25~
2023-03-08,2023-04-09,2023-04-09,06:30,09:35,ANR,AGP,3u 5m,Direct,TB1001,10,169.99,TB~1001~ ~ANR~2023-04-09 06:30~AGP~2023-04-09 09:35~
2023-03-08,2023-04-10,2023-04-10,06:45,09:50,ANR,AGP,3u 5m,Direct,TB1001,10,184.99,TB~1001~ ~ANR~2023-04-10 06:45~AGP~2023-04-10 09:50~
2023-03-08,2023-04-10,2023-04-10,14:05,17:10,ANR,AGP,3u 5m,Direct,TB1003,10,159.99,TB~1003~ ~ANR~2023-04-10 14:05~AGP~2023-04-10 17:10~
2023-03-08,2023-04-11,2023-04-11,14:15,17:20,ANR,AGP,3u 5m,Direct,TB1003,9,179.99,TB~1003~ ~ANR~2023-04-11 14:15~AGP~2023-04-11 17:20~
2023-03-08,2023-04-15,2023-04-15,13:35,16:40,ANR,AGP,3u 5m,Direct,TB1003,10,119.99,TB~1003~ ~ANR~2023-04-15 13:35~AGP~2023-04-15 16:40~
2023-03-08,2023-04-16,2023-04-16,08:30,11:35,ANR,AGP,3u 5m,Direct,TB1001,10,144.99,TB~1001~ ~ANR~2023-04-16 08:30~AGP~2023-04-16 11:35~
2023-03-08,2023-04-17,2023-04-17,15:20,18:25,ANR,AGP,3u 5m,Direct,TB1001,10,164.99,TB~1001~ ~ANR~2023-04-17 15:20~AGP~2023-04-17 18:25~
2023-03-08,2023-04-18,2023-04-18,14:15,17:20,ANR,AGP,3u 5m,Direct,TB1003,10,174.99,TB~1003~ ~ANR~2023-04-18 14:15~AGP~2023-04-18 17:20~
2023-03-08,2023-04-22,2023-04-22,13:35,16:40,ANR,AGP,3u 5m,Direct,TB1003,10,269.99,TB~1003~ ~ANR~2023-04-22 13:35~AGP~2023-04-22 16:40~
2023-03-08,2023-04-23,2023-04-23,08:30,11:35,ANR,AGP,3u 5m,Direct,TB1001,10,219.99,TB~1001~ ~ANR~2023-04-23 08:30~AGP~2023-04-23 11:35~
2023-03-08,2023-04-24,2023-04-24,15:20,18:25,ANR,AGP,3u 5m,Direct,TB1001,10,184.99,TB~1001~ ~ANR~2023-04-24 15:20~AGP~2023-04-24 18:25~
2023-03-08,2023-04-25,2023-04-25,14:15,17:20,ANR,AGP,3u 5m,Direct,TB1003,10,244.99,TB~1003~ ~ANR~2023-04-25 14:15~AGP~2023-04-25 17:20~
2023-03-08,2023-04-29,2023-04-29,13:35,16:40,ANR,AGP,3u 5m,Direct,TB1003,10,299.99,TB~1003~ ~ANR~2023-04-29 13:35~AGP~2023-04-29 16:40~
2023-03-08,2023-04-30,2023-04-30,08:30,11:35,ANR,AGP,3u 5m,Direct,TB1001,10,199.99,TB~1001~ ~ANR~2023-04-30 08:30~AGP~2023-04-30 11:35~
