search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-01,2023-04-01,06:30,09:10,ANR,ALC,2u 40m,Direct,TB1101,10,239.99,TB~1101~ ~ANR~2023-04-01 06:30~ALC~2023-04-01 09:10~
2023-03-08,2023-04-02,2023-04-02,08:30,11:15,ANR,ALC,2u 45m,Direct,TB1101,10,219.99,TB~1101~ ~ANR~2023-04-02 08:30~ALC~2023-04-02 11:15~
2023-03-08,2023-04-02,2023-04-02,14:05,16:45,ANR,ALC,2u 40m,Direct,TB1103,10,179.99,TB~1103~ ~ANR~2023-04-02 14:05~ALC~2023-04-02 16:45~
2023-03-08,2023-04-02,2023-04-02,15:20,18:00,ANR,ALC,2u 40m,Direct,TB1105,10,184.99,TB~1105~ ~ANR~2023-04-02 15:20~ALC~2023-04-02 18:00~
2023-03-08,2023-04-03,2023-04-03,08:00,10:40,ANR,ALC,2u 40m,Direct,TB1101,10,159.99,TB~1101~ ~ANR~2023-04-03 08:00~ALC~2023-04-03 10:40~
2023-03-08,2023-04-04,2023-04-04,07:30,10:10,ANR,ALC,2u 40m,Direct,TB1101,10,154.99,TB~1101~ ~ANR~2023-04-04 07:30~ALC~2023-04-04 10:10~
2023-03-08,2023-04-04,2023-04-04,08:35,11:15,ANR,ALC,2u 40m,Direct,TB1103,10,154.99,TB~1103~ ~ANR~2023-04-04 08:35~ALC~2023-04-04 11:15~
2023-03-08,2023-04-08,2023-04-08,06:30,09:10,ANR,ALC,2u 40m,Direct,TB1101,10,169.99,TB~1101~ ~ANR~2023-04-08 06:30~ALC~2023-04-08 09:10~
2023-03-08,2023-04-09,2023-04-09,08:30,11:15,ANR,ALC,2u 45m,Direct,TB1101,10,159.99,TB~1101~ ~ANR~2023-04-09 08:30~ALC~2023-04-09 11:15~
2023-03-08,2023-04-09,2023-04-09,14:05,16:45,ANR,ALC,2u 40m,Direct,TB1103,10,149.99,TB~1103~ ~ANR~2023-04-09 14:05~ALC~2023-04-09 16:45~
2023-03-08,2023-04-09,2023-04-09,15:20,18:00,ANR,ALC,2u 40m,Direct,TB1105,10,129.99,TB~1105~ ~ANR~2023-04-09 15:20~ALC~2023-04-09 18:00~
2023-03-08,2023-04-10,2023-04-10,08:00,10:40,ANR,ALC,2u 40m,Direct,TB1101,10,214.99,TB~1101~ ~ANR~2023-04-10 08:00~ALC~2023-04-10 10:40~
2023-03-08,2023-04-11,2023-04-11,07:30,10:10,ANR,ALC,2u 40m,Direct,TB1101,10,114.99,TB~1101~ ~ANR~2023-04-11 07:30~ALC~2023-04-11 10:10~
2023-03-08,2023-04-11,2023-04-11,08:35,11:15,ANR,ALC,2u 40m,Direct,TB1103,10,114.99,TB~1103~ ~ANR~2023-04-11 08:35~ALC~2023-04-11 11:15~
2023-03-08,2023-04-16,2023-04-16,15:55,18:35,ANR,ALC,2u 40m,Direct,TB1103,2,274.99,TB~1103~ ~ANR~2023-04-16 15:55~ALC~2023-04-16 18:35~
2023-03-08,2023-04-18,2023-04-18,07:30,10:10,ANR,ALC,2u 40m,Direct,TB1101,1,249.99,TB~1101~ ~ANR~2023-04-18 07:30~ALC~2023-04-18 10:10~
2023-03-08,2023-04-23,2023-04-23,15:55,18:35,ANR,ALC,2u 40m,Direct,TB1103,7,229.99,TB~1103~ ~ANR~2023-04-23 15:55~ALC~2023-04-23 18:35~
