search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-24,2023-04-24,08:40,11:20,ANR,IBZ,2u 40m,Direct,TB1321,10,119.99,TB~1321~ ~ANR~2023-04-24 08:40~IBZ~2023-04-24 11:20~
2023-03-08,2023-05-01,2023-05-01,08:40,11:20,ANR,IBZ,2u 40m,Direct,TB1321,10,124.99,TB~1321~ ~ANR~2023-05-01 08:40~IBZ~2023-05-01 11:20~
2023-03-08,2023-05-08,2023-05-08,08:40,11:20,ANR,IBZ,2u 40m,Direct,TB1321,10,119.99,TB~1321~ ~ANR~2023-05-08 08:40~IBZ~2023-05-08 11:20~
2023-03-08,2023-07-03,2023-07-03,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,209.99,TB~1321~ ~ANR~2023-07-03 08:45~IBZ~2023-07-03 11:25~
2023-03-08,2023-07-10,2023-07-10,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,209.99,TB~1321~ ~ANR~2023-07-10 08:45~IBZ~2023-07-10 11:25~
2023-03-08,2023-07-17,2023-07-17,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,244.99,TB~1321~ ~ANR~2023-07-17 08:45~IBZ~2023-07-17 11:25~
2023-03-08,2023-07-24,2023-07-24,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,209.99,TB~1321~ ~ANR~2023-07-24 08:45~IBZ~2023-07-24 11:25~
2023-03-08,2023-07-31,2023-07-31,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,179.99,TB~1321~ ~ANR~2023-07-31 08:45~IBZ~2023-07-31 11:25~
2023-03-08,2023-08-07,2023-08-07,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,204.99,TB~1321~ ~ANR~2023-08-07 08:45~IBZ~2023-08-07 11:25~
2023-03-08,2023-08-14,2023-08-14,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,184.99,TB~1321~ ~ANR~2023-08-14 08:45~IBZ~2023-08-14 11:25~
2023-03-08,2023-08-21,2023-08-21,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,209.99,TB~1321~ ~ANR~2023-08-21 08:45~IBZ~2023-08-21 11:25~
2023-03-08,2023-08-28,2023-08-28,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,91.99,TB~1321~ ~ANR~2023-08-28 08:45~IBZ~2023-08-28 11:25~
2023-03-08,2023-09-04,2023-09-04,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,149.99,TB~1321~ ~ANR~2023-09-04 08:45~IBZ~2023-09-04 11:25~
2023-03-08,2023-09-11,2023-09-11,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,144.99,TB~1321~ ~ANR~2023-09-11 08:45~IBZ~2023-09-11 11:25~
2023-03-08,2023-09-18,2023-09-18,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,134.99,TB~1321~ ~ANR~2023-09-18 08:45~IBZ~2023-09-18 11:25~
2023-03-08,2023-09-25,2023-09-25,08:45,11:25,ANR,IBZ,2u 40m,Direct,TB1321,10,95.99,TB~1321~ ~ANR~2023-09-25 08:45~IBZ~2023-09-25 11:25~
