search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-07-02,2023-07-02,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,244.99,TB~1401~ ~ANR~2023-07-02 15:10~PMI~2023-07-02 17:45~
2023-03-09,2023-07-06,2023-07-06,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,9,309.99,TB~1401~ ~ANR~2023-07-06 08:30~PMI~2023-07-06 11:05~
2023-03-09,2023-07-09,2023-07-09,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,224.99,TB~1401~ ~ANR~2023-07-09 15:10~PMI~2023-07-09 17:45~
2023-03-09,2023-07-13,2023-07-13,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,289.99,TB~1401~ ~ANR~2023-07-13 08:30~PMI~2023-07-13 11:05~
2023-03-09,2023-07-16,2023-07-16,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,239.99,TB~1401~ ~ANR~2023-07-16 15:10~PMI~2023-07-16 17:45~
2023-03-09,2023-07-20,2023-07-20,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,249.99,TB~1401~ ~ANR~2023-07-20 08:30~PMI~2023-07-20 11:05~
2023-03-09,2023-07-23,2023-07-23,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,244.99,TB~1401~ ~ANR~2023-07-23 15:10~PMI~2023-07-23 17:45~
2023-03-09,2023-07-27,2023-07-27,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,249.99,TB~1401~ ~ANR~2023-07-27 08:30~PMI~2023-07-27 11:05~
2023-03-09,2023-07-30,2023-07-30,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,159.99,TB~1401~ ~ANR~2023-07-30 15:10~PMI~2023-07-30 17:45~
2023-03-09,2023-08-03,2023-08-03,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,249.99,TB~1401~ ~ANR~2023-08-03 08:30~PMI~2023-08-03 11:05~
2023-03-09,2023-08-06,2023-08-06,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,179.99,TB~1401~ ~ANR~2023-08-06 15:10~PMI~2023-08-06 17:45~
2023-03-09,2023-08-10,2023-08-10,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,199.99,TB~1401~ ~ANR~2023-08-10 08:30~PMI~2023-08-10 11:05~
2023-03-09,2023-08-13,2023-08-13,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,199.99,TB~1401~ ~ANR~2023-08-13 15:10~PMI~2023-08-13 17:45~
2023-03-09,2023-08-17,2023-08-17,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,169.99,TB~1401~ ~ANR~2023-08-17 08:30~PMI~2023-08-17 11:05~
2023-03-09,2023-08-20,2023-08-20,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,129.99,TB~1401~ ~ANR~2023-08-20 15:10~PMI~2023-08-20 17:45~
2023-03-09,2023-08-24,2023-08-24,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,179.99,TB~1401~ ~ANR~2023-08-24 08:30~PMI~2023-08-24 11:05~
2023-03-09,2023-08-27,2023-08-27,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,99.99,TB~1401~ ~ANR~2023-08-27 15:10~PMI~2023-08-27 17:45~
2023-03-09,2023-08-31,2023-08-31,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,169.99,TB~1401~ ~ANR~2023-08-31 08:30~PMI~2023-08-31 11:05~
2023-03-09,2023-09-03,2023-09-03,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,144.99,TB~1401~ ~ANR~2023-09-03 15:10~PMI~2023-09-03 17:45~
2023-03-09,2023-09-07,2023-09-07,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,149.99,TB~1401~ ~ANR~2023-09-07 08:30~PMI~2023-09-07 11:05~
2023-03-09,2023-09-10,2023-09-10,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,149.99,TB~1401~ ~ANR~2023-09-10 15:10~PMI~2023-09-10 17:45~
2023-03-09,2023-09-14,2023-09-14,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,149.99,TB~1401~ ~ANR~2023-09-14 08:30~PMI~2023-09-14 11:05~
2023-03-09,2023-09-17,2023-09-17,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,95.99,TB~1401~ ~ANR~2023-09-17 15:10~PMI~2023-09-17 17:45~
2023-03-09,2023-09-21,2023-09-21,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,124.99,TB~1401~ ~ANR~2023-09-21 08:30~PMI~2023-09-21 11:05~
2023-03-09,2023-09-24,2023-09-24,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,85.99,TB~1401~ ~ANR~2023-09-24 15:10~PMI~2023-09-24 17:45~
2023-03-09,2023-09-28,2023-09-28,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,6,309.99,TB~1401~ ~ANR~2023-09-28 08:30~PMI~2023-09-28 11:05~
2023-03-09,2023-10-01,2023-10-01,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,95.99,TB~1401~ ~ANR~2023-10-01 15:10~PMI~2023-10-01 17:45~
2023-03-10,2023-07-02,2023-07-02,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,219.99,TB~1401~ ~ANR~2023-07-02 15:10~PMI~2023-07-02 17:45~
2023-03-10,2023-07-06,2023-07-06,08:30,11:05,ANR,PMI,2u 35m,Direct,TB 1401,10,249.99,TB~1401~ ~ANR~2023-07-06 08:30~PMI~2023-07-06 11:05~
2023-03-10,2023-07-09,2023-07-09,15:10,17:45,ANR,PMI,2u 35m,Direct,TB 1401,10,224.99,TB~1401~ ~ANR~2023-07-09 15:10~PMI~2023-07-09 17:45~
