search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-01,2023-04-01,06:00,09:05,BRU,AGP,3u 5m,Direct,TB 1011,10,329.99,TB~1011~ ~BRU~2023-04-01 06:00~AGP~2023-04-01 09:05~
2023-03-09,2023-04-01,2023-04-01,14:25,17:30,BRU,AGP,3u 5m,Direct,TB 1013,10,269.99,TB~1013~ ~BRU~2023-04-01 14:25~AGP~2023-04-01 17:30~
2023-03-09,2023-04-02,2023-04-02,13:50,16:55,BRU,AGP,3u 5m,Direct,TB 1011,10,199.99,TB~1011~ ~BRU~2023-04-02 13:50~AGP~2023-04-02 16:55~
2023-03-09,2023-04-02,2023-04-02,15:25,18:30,BRU,AGP,3u 5m,Direct,TB 1013,10,194.99,TB~1013~ ~BRU~2023-04-02 15:25~AGP~2023-04-02 18:30~
2023-03-09,2023-04-03,2023-04-03,06:05,09:10,BRU,AGP,3u 5m,Direct,TB 1011,10,189.99,TB~1011~ ~BRU~2023-04-03 06:05~AGP~2023-04-03 09:10~
2023-03-09,2023-04-03,2023-04-03,06:20,09:25,BRU,AGP,3u 5m,Direct,TB 1013,10,169.99,TB~1013~ ~BRU~2023-04-03 06:20~AGP~2023-04-03 09:25~
2023-03-09,2023-04-04,2023-04-04,06:15,09:20,BRU,AGP,3u 5m,Direct,TB 1011,10,154.99,TB~1011~ ~BRU~2023-04-04 06:15~AGP~2023-04-04 09:20~
2023-03-09,2023-04-04,2023-04-04,16:00,19:05,BRU,AGP,3u 5m,Direct,TB 1013,10,149.99,TB~1013~ ~BRU~2023-04-04 16:00~AGP~2023-04-04 19:05~
2023-03-09,2023-04-05,2023-04-05,06:05,09:10,BRU,AGP,3u 5m,Direct,TB 1011,10,149.99,TB~1011~ ~BRU~2023-04-05 06:05~AGP~2023-04-05 09:10~
2023-03-09,2023-04-06,2023-04-06,06:05,09:10,BRU,AGP,3u 5m,Direct,TB 1027,10,164.99,TB~1027~ ~BRU~2023-04-06 06:05~AGP~2023-04-06 09:10~
2023-03-09,2023-04-06,2023-04-06,15:55,19:00,BRU,AGP,3u 5m,Direct,TB 1013,10,159.99,TB~1013~ ~BRU~2023-04-06 15:55~AGP~2023-04-06 19:00~
2023-03-09,2023-04-07,2023-04-07,06:00,09:05,BRU,AGP,3u 5m,Direct,TB 1013,10,159.99,TB~1013~ ~BRU~2023-04-07 06:00~AGP~2023-04-07 09:05~
2023-03-09,2023-04-08,2023-04-08,06:00,09:05,BRU,AGP,3u 5m,Direct,TB 1011,10,259.99,TB~1011~ ~BRU~2023-04-08 06:00~AGP~2023-04-08 09:05~
2023-03-09,2023-04-08,2023-04-08,14:25,17:30,BRU,AGP,3u 5m,Direct,TB 1013,4,209.99,TB~1013~ ~BRU~2023-04-08 14:25~AGP~2023-04-08 17:30~
2023-03-09,2023-04-09,2023-04-09,13:50,16:55,BRU,AGP,3u 5m,Direct,TB 1011,10,259.99,TB~1011~ ~BRU~2023-04-09 13:50~AGP~2023-04-09 16:55~
2023-03-09,2023-04-09,2023-04-09,15:25,18:30,BRU,AGP,3u 5m,Direct,TB 1013,10,169.99,TB~1013~ ~BRU~2023-04-09 15:25~AGP~2023-04-09 18:30~
2023-03-09,2023-04-10,2023-04-10,06:05,09:10,BRU,AGP,3u 5m,Direct,TB 1011,10,159.99,TB~1011~ ~BRU~2023-04-10 06:05~AGP~2023-04-10 09:10~
2023-03-09,2023-04-10,2023-04-10,06:20,09:25,BRU,AGP,3u 5m,Direct,TB 1013,10,149.99,TB~1013~ ~BRU~2023-04-10 06:20~AGP~2023-04-10 09:25~
2023-03-09,2023-04-11,2023-04-11,06:15,09:20,BRU,AGP,3u 5m,Direct,TB 1011,10,134.99,TB~1011~ ~BRU~2023-04-11 06:15~AGP~2023-04-11 09:20~
2023-03-09,2023-04-11,2023-04-11,16:00,19:05,BRU,AGP,3u 5m,Direct,TB 1013,10,99.99,TB~1013~ ~BRU~2023-04-11 16:00~AGP~2023-04-11 19:05~
2023-03-09,2023-04-12,2023-04-12,06:05,09:10,BRU,AGP,3u 5m,Direct,TB 1011,10,97.99,TB~1011~ ~BRU~2023-04-12 06:05~AGP~2023-04-12 09:10~
2023-03-09,2023-04-13,2023-04-13,06:05,09:10,BRU,AGP,3u 5m,Direct,TB 1027,10,97.99,TB~1027~ ~BRU~2023-04-13 06:05~AGP~2023-04-13 09:10~
