search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-01,2023-04-01,06:00,08:45,BRU,ALC,2u 45m,Direct,TB 1135,10,249.99,TB~1135~ ~BRU~2023-04-01 06:00~ALC~2023-04-01 08:45~
2023-03-09,2023-04-01,2023-04-01,17:00,19:45,BRU,ALC,2u 45m,Direct,TB 1113,10,179.99,TB~1113~ ~BRU~2023-04-01 17:00~ALC~2023-04-01 19:45~
2023-03-09,2023-04-02,2023-04-02,06:10,08:55,BRU,ALC,2u 45m,Direct,TB 1111,10,184.99,TB~1111~ ~BRU~2023-04-02 06:10~ALC~2023-04-02 08:55~
2023-03-09,2023-04-02,2023-04-02,16:45,19:30,BRU,ALC,2u 45m,Direct,TB 1113,10,159.99,TB~1113~ ~BRU~2023-04-02 16:45~ALC~2023-04-02 19:30~
2023-03-09,2023-04-03,2023-04-03,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,169.99,TB~1111~ ~BRU~2023-04-03 06:05~ALC~2023-04-03 08:50~
2023-03-09,2023-04-04,2023-04-04,06:15,09:00,BRU,ALC,2u 45m,Direct,TB 1135,10,169.99,TB~1135~ ~BRU~2023-04-04 06:15~ALC~2023-04-04 09:00~
2023-03-09,2023-04-05,2023-04-05,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,139.99,TB~1111~ ~BRU~2023-04-05 06:05~ALC~2023-04-05 08:50~
2023-03-09,2023-04-05,2023-04-05,06:10,08:55,BRU,ALC,2u 45m,Direct,TB 1113,10,139.99,TB~1113~ ~BRU~2023-04-05 06:10~ALC~2023-04-05 08:55~
2023-03-09,2023-04-06,2023-04-06,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,139.99,TB~1111~ ~BRU~2023-04-06 06:05~ALC~2023-04-06 08:50~
2023-03-09,2023-04-06,2023-04-06,16:25,19:10,BRU,ALC,2u 45m,Direct,TB 1113,9,139.99,TB~1113~ ~BRU~2023-04-06 16:25~ALC~2023-04-06 19:10~
2023-03-09,2023-04-07,2023-04-07,06:20,10:40,BRU,ALC,4u 20m,Stop Over,TB 1419,10,244.99,TB~1419~ ~BRU~2023-04-07 06:20~ALC~2023-04-07 10:40~
2023-03-09,2023-04-07,2023-04-07,13:15,16:00,BRU,ALC,2u 45m,Direct,TB 1113,10,214.99,TB~1113~ ~BRU~2023-04-07 13:15~ALC~2023-04-07 16:00~
2023-03-09,2023-04-08,2023-04-08,06:00,08:45,BRU,ALC,2u 45m,Direct,TB 1135,10,214.99,TB~1135~ ~BRU~2023-04-08 06:00~ALC~2023-04-08 08:45~
2023-03-09,2023-04-08,2023-04-08,17:00,19:45,BRU,ALC,2u 45m,Direct,TB 1113,10,139.99,TB~1113~ ~BRU~2023-04-08 17:00~ALC~2023-04-08 19:45~
2023-03-09,2023-04-09,2023-04-09,06:10,08:55,BRU,ALC,2u 45m,Direct,TB 1111,10,149.99,TB~1111~ ~BRU~2023-04-09 06:10~ALC~2023-04-09 08:55~
2023-03-09,2023-04-09,2023-04-09,16:30,19:15,BRU,ALC,2u 45m,Direct,TB 1113,10,139.99,TB~1113~ ~BRU~2023-04-09 16:30~ALC~2023-04-09 19:15~
2023-03-09,2023-04-10,2023-04-10,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,139.99,TB~1111~ ~BRU~2023-04-10 06:05~ALC~2023-04-10 08:50~
2023-03-09,2023-04-11,2023-04-11,06:15,09:00,BRU,ALC,2u 45m,Direct,TB 1135,10,169.99,TB~1135~ ~BRU~2023-04-11 06:15~ALC~2023-04-11 09:00~
2023-03-09,2023-04-12,2023-04-12,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,95.99,TB~1111~ ~BRU~2023-04-12 06:05~ALC~2023-04-12 08:50~
2023-03-09,2023-04-12,2023-04-12,06:10,08:55,BRU,ALC,2u 45m,Direct,TB 1113,10,93.99,TB~1113~ ~BRU~2023-04-12 06:10~ALC~2023-04-12 08:55~
2023-03-09,2023-04-13,2023-04-13,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,99.99,TB~1111~ ~BRU~2023-04-13 06:05~ALC~2023-04-13 08:50~
2023-03-09,2023-04-13,2023-04-13,16:25,19:10,BRU,ALC,2u 45m,Direct,TB 1113,10,93.99,TB~1113~ ~BRU~2023-04-13 16:25~ALC~2023-04-13 19:10~
2023-03-09,2023-04-14,2023-04-14,06:20,10:40,BRU,ALC,4u 20m,Stop Over,TB 1419,10,114.99,TB~1419~ ~BRU~2023-04-14 06:20~ALC~2023-04-14 10:40~
2023-03-09,2023-04-14,2023-04-14,06:25,09:10,BRU,ALC,2u 45m,Direct,TB 1113,10,99.99,TB~1113~ ~BRU~2023-04-14 06:25~ALC~2023-04-14 09:10~
2023-03-09,2023-04-15,2023-04-15,06:00,08:45,BRU,ALC,2u 45m,Direct,TB 1135,10,174.99,TB~1135~ ~BRU~2023-04-15 06:00~ALC~2023-04-15 08:45~
2023-03-09,2023-04-15,2023-04-15,17:00,19:45,BRU,ALC,2u 45m,Direct,TB 1113,10,99.99,TB~1113~ ~BRU~2023-04-15 17:00~ALC~2023-04-15 19:45~
2023-03-09,2023-04-16,2023-04-16,06:10,08:55,BRU,ALC,2u 45m,Direct,TB 1111,10,99.99,TB~1111~ ~BRU~2023-04-16 06:10~ALC~2023-04-16 08:55~
2023-03-09,2023-04-16,2023-04-16,16:30,19:15,BRU,ALC,2u 45m,Direct,TB 1113,10,99.99,TB~1113~ ~BRU~2023-04-16 16:30~ALC~2023-04-16 19:15~
2023-03-09,2023-04-17,2023-04-17,06:05,08:50,BRU,ALC,2u 45m,Direct,TB 1111,10,109.99,TB~1111~ ~BRU~2023-04-17 06:05~ALC~2023-04-17 08:50~
