search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-05-13,2023-05-13,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,249.99,TB~3511~ ~BRU~2023-05-13 06:30~BDS~2023-05-13 09:15~
2023-03-09,2023-05-16,2023-05-16,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,179.99,TB~3511~ ~BRU~2023-05-16 15:15~BDS~2023-05-16 18:00~
2023-03-09,2023-05-20,2023-05-20,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,249.99,TB~3511~ ~BRU~2023-05-20 06:30~BDS~2023-05-20 09:15~
2023-03-09,2023-05-23,2023-05-23,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,179.99,TB~3511~ ~BRU~2023-05-23 15:15~BDS~2023-05-23 18:00~
2023-03-09,2023-05-27,2023-05-27,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,249.99,TB~3511~ ~BRU~2023-05-27 06:30~BDS~2023-05-27 09:15~
2023-03-09,2023-05-30,2023-05-30,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,144.99,TB~3511~ ~BRU~2023-05-30 15:15~BDS~2023-05-30 18:00~
2023-03-09,2023-06-03,2023-06-03,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,154.99,TB~3511~ ~BRU~2023-06-03 06:30~BDS~2023-06-03 09:15~
2023-03-09,2023-06-06,2023-06-06,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,139.99,TB~3511~ ~BRU~2023-06-06 15:15~BDS~2023-06-06 18:00~
2023-03-09,2023-06-10,2023-06-10,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,154.99,TB~3511~ ~BRU~2023-06-10 06:30~BDS~2023-06-10 09:15~
2023-03-09,2023-06-13,2023-06-13,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,134.99,TB~3511~ ~BRU~2023-06-13 15:15~BDS~2023-06-13 18:00~
2023-03-09,2023-06-17,2023-06-17,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,154.99,TB~3511~ ~BRU~2023-06-17 06:30~BDS~2023-06-17 09:15~
2023-03-09,2023-06-20,2023-06-20,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,154.99,TB~3511~ ~BRU~2023-06-20 15:15~BDS~2023-06-20 18:00~
2023-03-09,2023-06-24,2023-06-24,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,169.99,TB~3511~ ~BRU~2023-06-24 06:30~BDS~2023-06-24 09:15~
2023-03-09,2023-06-27,2023-06-27,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,169.99,TB~3511~ ~BRU~2023-06-27 15:15~BDS~2023-06-27 18:00~
2023-03-09,2023-07-01,2023-07-01,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,199.99,TB~3511~ ~BRU~2023-07-01 06:30~BDS~2023-07-01 09:15~
2023-03-09,2023-07-04,2023-07-04,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,199.99,TB~3511~ ~BRU~2023-07-04 15:15~BDS~2023-07-04 18:00~
2023-03-09,2023-07-08,2023-07-08,06:30,09:15,BRU,BDS,2u 45m,Direct,TB 3511,10,249.99,TB~3511~ ~BRU~2023-07-08 06:30~BDS~2023-07-08 09:15~
2023-03-09,2023-07-11,2023-07-11,15:15,18:00,BRU,BDS,2u 45m,Direct,TB 3511,10,259.99,TB~3511~ ~BRU~2023-07-11 15:15~BDS~2023-07-11 18:00~
