search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-23,2023-04-23,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2197,10,209.99,TB~2197~ ~BRU~2023-04-23 06:40~CFU~2023-04-23 10:45~
2023-03-09,2023-04-28,2023-04-28,14:45,18:50,BRU,CFU,3u 5m,Direct,TB 2197,9,229.99,TB~2197~ ~BRU~2023-04-28 14:45~CFU~2023-04-28 18:50~
2023-03-09,2023-04-30,2023-04-30,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2191,10,309.99,TB~2191~ ~BRU~2023-04-30 06:40~CFU~2023-04-30 10:45~
2023-03-09,2023-05-05,2023-05-05,16:30,20:35,BRU,CFU,3u 5m,Direct,TB 2191,10,279.99,TB~2191~ ~BRU~2023-05-05 16:30~CFU~2023-05-05 20:35~
2023-03-09,2023-05-07,2023-05-07,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2191,10,279.99,TB~2191~ ~BRU~2023-05-07 06:40~CFU~2023-05-07 10:45~
2023-03-09,2023-05-09,2023-05-09,06:00,10:05,BRU,CFU,3u 5m,Direct,TB 2191,10,169.99,TB~2191~ ~BRU~2023-05-09 06:00~CFU~2023-05-09 10:05~
2023-03-09,2023-05-12,2023-05-12,16:30,20:35,BRU,CFU,3u 5m,Direct,TB 2191,10,279.99,TB~2191~ ~BRU~2023-05-12 16:30~CFU~2023-05-12 20:35~
2023-03-09,2023-05-14,2023-05-14,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2191,10,239.99,TB~2191~ ~BRU~2023-05-14 06:40~CFU~2023-05-14 10:45~
2023-03-09,2023-05-15,2023-05-15,06:00,10:05,BRU,CFU,3u 5m,Direct,TB 2191,10,279.99,TB~2191~ ~BRU~2023-05-15 06:00~CFU~2023-05-15 10:05~
2023-03-09,2023-05-16,2023-05-16,06:00,12:10,BRU,CFU,5u 10m,Stop Over,TB 2161,10,239.99,TB~2161~ ~BRU~2023-05-16 06:00~CFU~2023-05-16 12:10~
2023-03-09,2023-05-19,2023-05-19,14:30,20:35,BRU,CFU,5u 5m,Stop Over,TB 2161,10,189.99,TB~2161~ ~BRU~2023-05-19 14:30~CFU~2023-05-19 20:35~
2023-03-09,2023-05-21,2023-05-21,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2191,10,209.99,TB~2191~ ~BRU~2023-05-21 06:40~CFU~2023-05-21 10:45~
2023-03-09,2023-05-22,2023-05-22,06:00,10:05,BRU,CFU,3u 5m,Direct,TB 2191,10,189.99,TB~2191~ ~BRU~2023-05-22 06:00~CFU~2023-05-22 10:05~
2023-03-09,2023-05-23,2023-05-23,06:00,12:10,BRU,CFU,5u 10m,Stop Over,TB 2161,10,169.99,TB~2161~ ~BRU~2023-05-23 06:00~CFU~2023-05-23 12:10~
2023-03-09,2023-05-26,2023-05-26,14:30,20:35,BRU,CFU,5u 5m,Stop Over,TB 2161,10,279.99,TB~2161~ ~BRU~2023-05-26 14:30~CFU~2023-05-26 20:35~
2023-03-09,2023-05-28,2023-05-28,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2191,10,279.99,TB~2191~ ~BRU~2023-05-28 06:40~CFU~2023-05-28 10:45~
2023-03-09,2023-05-29,2023-05-29,06:00,10:05,BRU,CFU,3u 5m,Direct,TB 2191,10,279.99,TB~2191~ ~BRU~2023-05-29 06:00~CFU~2023-05-29 10:05~
2023-03-09,2023-05-30,2023-05-30,06:00,12:10,BRU,CFU,5u 10m,Stop Over,TB 2161,10,189.99,TB~2161~ ~BRU~2023-05-30 06:00~CFU~2023-05-30 12:10~
2023-03-09,2023-06-02,2023-06-02,14:30,20:35,BRU,CFU,5u 5m,Stop Over,TB 2161,10,189.99,TB~2161~ ~BRU~2023-06-02 14:30~CFU~2023-06-02 20:35~
2023-03-09,2023-06-04,2023-06-04,06:40,10:45,BRU,CFU,3u 5m,Direct,TB 2191,10,189.99,TB~2191~ ~BRU~2023-06-04 06:40~CFU~2023-06-04 10:45~
2023-03-09,2023-06-05,2023-06-05,06:00,10:05,BRU,CFU,3u 5m,Direct,TB 2191,10,189.99,TB~2191~ ~BRU~2023-06-05 06:00~CFU~2023-06-05 10:05~
2023-03-09,2023-06-06,2023-06-06,06:00,12:10,BRU,CFU,5u 10m,Stop Over,TB 2161,10,159.99,TB~2161~ ~BRU~2023-06-06 06:00~CFU~2023-06-06 12:10~
2023-03-09,2023-06-09,2023-06-09,14:30,20:35,BRU,CFU,5u 5m,Stop Over,TB 2161,10,189.99,TB~2161~ ~BRU~2023-06-09 14:30~CFU~2023-06-09 20:35~
