search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-02,2023-04-02,13:35,15:50,BRU,FAO,3u 15m,Direct,TB 1941,10,199.99,TB~1941~ ~BRU~2023-04-02 13:35~FAO~2023-04-02 15:50~
2023-03-09,2023-04-09,2023-04-09,13:35,15:50,BRU,FAO,3u 15m,Direct,TB 1941,10,219.99,TB~1941~ ~BRU~2023-04-09 13:35~FAO~2023-04-09 15:50~
2023-03-09,2023-04-16,2023-04-16,13:35,15:50,BRU,FAO,3u 15m,Direct,TB 1941,10,104.99,TB~1941~ ~BRU~2023-04-16 13:35~FAO~2023-04-16 15:50~
2023-03-09,2023-04-23,2023-04-23,16:35,20:10,BRU,FAO,4u 35m,Stop Over,TB 1315,10,249.99,TB~1315~ ~BRU~2023-04-23 16:35~FAO~2023-04-23 20:10~
2023-03-09,2023-04-30,2023-04-30,14:50,18:25,BRU,FAO,4u 35m,Stop Over,TB 1315,10,219.99,TB~1315~ ~BRU~2023-04-30 14:50~FAO~2023-04-30 18:25~
2023-03-09,2023-05-04,2023-05-04,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,219.99,TB~1941~ ~BRU~2023-05-04 06:20~FAO~2023-05-04 08:35~
2023-03-09,2023-05-07,2023-05-07,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,219.99,TB~1941~ ~BRU~2023-05-07 14:50~FAO~2023-05-07 17:05~
2023-03-09,2023-05-11,2023-05-11,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,164.99,TB~1941~ ~BRU~2023-05-11 06:20~FAO~2023-05-11 08:35~
2023-03-09,2023-05-14,2023-05-14,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,249.99,TB~1941~ ~BRU~2023-05-14 14:50~FAO~2023-05-14 17:05~
2023-03-09,2023-05-18,2023-05-18,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,8,249.99,TB~1941~ ~BRU~2023-05-18 06:20~FAO~2023-05-18 08:35~
2023-03-09,2023-05-21,2023-05-21,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,119.99,TB~1941~ ~BRU~2023-05-21 14:50~FAO~2023-05-21 17:05~
2023-03-09,2023-05-25,2023-05-25,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,249.99,TB~1941~ ~BRU~2023-05-25 06:20~FAO~2023-05-25 08:35~
2023-03-09,2023-05-28,2023-05-28,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,234.99,TB~1941~ ~BRU~2023-05-28 14:50~FAO~2023-05-28 17:05~
2023-03-09,2023-06-01,2023-06-01,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,154.99,TB~1941~ ~BRU~2023-06-01 06:20~FAO~2023-06-01 08:35~
2023-03-09,2023-06-04,2023-06-04,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,154.99,TB~1941~ ~BRU~2023-06-04 14:50~FAO~2023-06-04 17:05~
2023-03-09,2023-06-08,2023-06-08,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,154.99,TB~1941~ ~BRU~2023-06-08 06:20~FAO~2023-06-08 08:35~
2023-03-09,2023-06-11,2023-06-11,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,144.99,TB~1941~ ~BRU~2023-06-11 14:50~FAO~2023-06-11 17:05~
2023-03-09,2023-06-15,2023-06-15,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,154.99,TB~1941~ ~BRU~2023-06-15 06:20~FAO~2023-06-15 08:35~
2023-03-09,2023-06-18,2023-06-18,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,139.99,TB~1941~ ~BRU~2023-06-18 14:50~FAO~2023-06-18 17:05~
2023-03-09,2023-06-22,2023-06-22,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,179.99,TB~1941~ ~BRU~2023-06-22 06:20~FAO~2023-06-22 08:35~
2023-03-09,2023-06-25,2023-06-25,14:50,17:05,BRU,FAO,3u 15m,Direct,TB 1941,10,169.99,TB~1941~ ~BRU~2023-06-25 14:50~FAO~2023-06-25 17:05~
2023-03-09,2023-06-29,2023-06-29,06:20,08:35,BRU,FAO,3u 15m,Direct,TB 1941,10,169.99,TB~1941~ ~BRU~2023-06-29 06:20~FAO~2023-06-29 08:35~
2023-03-09,2023-07-01,2023-07-01,06:15,08:30,BRU,FAO,3u 15m,Direct,TB 1941,10,189.99,TB~1941~ ~BRU~2023-07-01 06:15~FAO~2023-07-01 08:30~
