search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-14,2023-04-14,08:00,12:50,BRU,HER,3u 50m,Direct,TB 2257,10,239.99,TB~2257~ ~BRU~2023-04-14 08:00~HER~2023-04-14 12:50~
2023-03-09,2023-04-16,2023-04-16,06:30,11:20,BRU,HER,3u 50m,Direct,TB 2263,1,349.99,TB~2263~ ~BRU~2023-04-16 06:30~HER~2023-04-16 11:20~
2023-03-09,2023-04-20,2023-04-20,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2265,10,219.99,TB~2265~ ~BRU~2023-04-20 06:15~HER~2023-04-20 11:05~
2023-03-09,2023-04-21,2023-04-21,06:20,11:10,BRU,HER,3u 50m,Direct,TB 2285,10,269.99,TB~2285~ ~BRU~2023-04-21 06:20~HER~2023-04-21 11:10~
2023-03-09,2023-04-23,2023-04-23,06:20,11:10,BRU,HER,3u 50m,Direct,TB 2283,10,299.99,TB~2283~ ~BRU~2023-04-23 06:20~HER~2023-04-23 11:10~
2023-03-09,2023-04-24,2023-04-24,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2251,10,299.99,TB~2251~ ~BRU~2023-04-24 06:15~HER~2023-04-24 11:05~
2023-03-09,2023-04-27,2023-04-27,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2251,10,219.99,TB~2251~ ~BRU~2023-04-27 06:15~HER~2023-04-27 11:05~
2023-03-09,2023-04-28,2023-04-28,06:20,11:10,BRU,HER,3u 50m,Direct,TB 2251,10,309.99,TB~2251~ ~BRU~2023-04-28 06:20~HER~2023-04-28 11:10~
2023-03-09,2023-05-01,2023-05-01,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2251,5,329.99,TB~2251~ ~BRU~2023-05-01 06:15~HER~2023-05-01 11:05~
2023-03-09,2023-05-03,2023-05-03,06:10,11:00,BRU,HER,3u 50m,Direct,TB 2251,10,329.99,TB~2251~ ~BRU~2023-05-03 06:10~HER~2023-05-03 11:00~
2023-03-09,2023-05-04,2023-05-04,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2251,10,279.99,TB~2251~ ~BRU~2023-05-04 06:15~HER~2023-05-04 11:05~
2023-03-09,2023-05-05,2023-05-05,06:20,11:10,BRU,HER,3u 50m,Direct,TB 2251,10,279.99,TB~2251~ ~BRU~2023-05-05 06:20~HER~2023-05-05 11:10~
2023-03-09,2023-05-07,2023-05-07,06:20,11:10,BRU,HER,3u 50m,Direct,TB 2283,10,329.99,TB~2283~ ~BRU~2023-05-07 06:20~HER~2023-05-07 11:10~
2023-03-09,2023-05-08,2023-05-08,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2251,10,249.99,TB~2251~ ~BRU~2023-05-08 06:15~HER~2023-05-08 11:05~
2023-03-09,2023-05-10,2023-05-10,06:10,11:00,BRU,HER,3u 50m,Direct,TB 2251,10,219.99,TB~2251~ ~BRU~2023-05-10 06:10~HER~2023-05-10 11:00~
2023-03-09,2023-05-11,2023-05-11,06:15,11:05,BRU,HER,3u 50m,Direct,TB 2251,10,209.99,TB~2251~ ~BRU~2023-05-11 06:15~HER~2023-05-11 11:05~
