search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-02,2023-04-02,06:30,10:40,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,149.99,TB~1417~ ~BRU~2023-04-02 06:30~IBZ~2023-04-02 10:40~
2023-03-09,2023-04-06,2023-04-06,06:20,10:30,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,199.99,TB~1417~ ~BRU~2023-04-06 06:20~IBZ~2023-04-06 10:30~
2023-03-09,2023-04-09,2023-04-09,06:30,10:40,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,144.99,TB~1417~ ~BRU~2023-04-09 06:30~IBZ~2023-04-09 10:40~
2023-03-09,2023-04-13,2023-04-13,06:20,10:30,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,79.99,TB~1417~ ~BRU~2023-04-13 06:20~IBZ~2023-04-13 10:30~
2023-03-09,2023-04-16,2023-04-16,06:30,10:40,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,109.99,TB~1417~ ~BRU~2023-04-16 06:30~IBZ~2023-04-16 10:40~
2023-03-09,2023-04-20,2023-04-20,06:20,10:30,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,149.99,TB~1417~ ~BRU~2023-04-20 06:20~IBZ~2023-04-20 10:30~
2023-03-09,2023-04-22,2023-04-22,06:15,10:25,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,229.99,TB~1417~ ~BRU~2023-04-22 06:15~IBZ~2023-04-22 10:25~
2023-03-09,2023-04-23,2023-04-23,06:30,10:40,BRU,IBZ,4u 10m,Stop Over,TB 1417,10,149.99,TB~1417~ ~BRU~2023-04-23 06:30~IBZ~2023-04-23 10:40~
2023-03-09,2023-04-27,2023-04-27,06:20,10:30,BRU,IBZ,4u 10m,Stop Over,TB 1417,9,349.99,TB~1417~ ~BRU~2023-04-27 06:20~IBZ~2023-04-27 10:30~
2023-03-09,2023-04-29,2023-04-29,16:00,18:45,BRU,IBZ,2u 45m,Direct,TB 1331,10,179.99,TB~1331~ ~BRU~2023-04-29 16:00~IBZ~2023-04-29 18:45~
2023-03-09,2023-04-30,2023-04-30,17:15,21:25,BRU,IBZ,4u 10m,Stop Over,TB 1371,10,129.99,TB~1371~ ~BRU~2023-04-30 17:15~IBZ~2023-04-30 21:25~
2023-03-09,2023-05-04,2023-05-04,06:05,08:50,BRU,IBZ,2u 45m,Direct,TB 1331,10,179.99,TB~1331~ ~BRU~2023-05-04 06:05~IBZ~2023-05-04 08:50~
2023-03-09,2023-05-06,2023-05-06,16:00,18:45,BRU,IBZ,2u 45m,Direct,TB 1331,10,144.99,TB~1331~ ~BRU~2023-05-06 16:00~IBZ~2023-05-06 18:45~
2023-03-09,2023-05-07,2023-05-07,17:15,21:25,BRU,IBZ,4u 10m,Stop Over,TB 1371,10,109.99,TB~1371~ ~BRU~2023-05-07 17:15~IBZ~2023-05-07 21:25~
