search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-05-05,2023-05-05,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,204.99,TB~3581~ ~BRU~2023-05-05 06:00~NAP~2023-05-05 08:35~
2023-03-09,2023-05-12,2023-05-12,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,204.99,TB~3581~ ~BRU~2023-05-12 06:00~NAP~2023-05-12 08:35~
2023-03-09,2023-05-15,2023-05-15,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,269.99,TB~3581~ ~BRU~2023-05-15 06:00~NAP~2023-05-15 08:35~
2023-03-09,2023-05-19,2023-05-19,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,179.99,TB~3581~ ~BRU~2023-05-19 06:00~NAP~2023-05-19 08:35~
2023-03-09,2023-05-22,2023-05-22,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,139.99,TB~3581~ ~BRU~2023-05-22 06:00~NAP~2023-05-22 08:35~
2023-03-09,2023-05-26,2023-05-26,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,234.99,TB~3581~ ~BRU~2023-05-26 06:00~NAP~2023-05-26 08:35~
2023-03-09,2023-05-29,2023-05-29,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,189.99,TB~3581~ ~BRU~2023-05-29 06:00~NAP~2023-05-29 08:35~
2023-03-09,2023-06-02,2023-06-02,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,174.99,TB~3581~ ~BRU~2023-06-02 06:00~NAP~2023-06-02 08:35~
2023-03-09,2023-06-05,2023-06-05,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,219.99,TB~3581~ ~BRU~2023-06-05 06:00~NAP~2023-06-05 08:35~
2023-03-09,2023-06-09,2023-06-09,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,179.99,TB~3581~ ~BRU~2023-06-09 06:00~NAP~2023-06-09 08:35~
2023-03-09,2023-06-12,2023-06-12,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,204.99,TB~3581~ ~BRU~2023-06-12 06:00~NAP~2023-06-12 08:35~
2023-03-09,2023-06-16,2023-06-16,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,164.99,TB~3581~ ~BRU~2023-06-16 06:00~NAP~2023-06-16 08:35~
2023-03-09,2023-06-19,2023-06-19,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,209.99,TB~3581~ ~BRU~2023-06-19 06:00~NAP~2023-06-19 08:35~
2023-03-09,2023-06-23,2023-06-23,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,169.99,TB~3581~ ~BRU~2023-06-23 06:00~NAP~2023-06-23 08:35~
2023-03-09,2023-06-26,2023-06-26,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,239.99,TB~3581~ ~BRU~2023-06-26 06:00~NAP~2023-06-26 08:35~
2023-03-09,2023-06-30,2023-06-30,06:00,08:35,BRU,NAP,2u 35m,Direct,TB 3581,10,249.99,TB~3581~ ~BRU~2023-06-30 06:00~NAP~2023-06-30 08:35~
