search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-02,2023-04-02,06:30,09:05,BRU,PMI,2u 35m,Direct,TB 1417,10,169.99,TB~1417~ ~BRU~2023-04-02 06:30~PMI~2023-04-02 09:05~
2023-03-09,2023-04-04,2023-04-04,06:00,08:35,BRU,PMI,2u 35m,Direct,TB 1413,10,129.99,TB~1413~ ~BRU~2023-04-04 06:00~PMI~2023-04-04 08:35~
2023-03-09,2023-04-06,2023-04-06,06:20,08:55,BRU,PMI,2u 35m,Direct,TB 1417,10,189.99,TB~1417~ ~BRU~2023-04-06 06:20~PMI~2023-04-06 08:55~
2023-03-09,2023-04-07,2023-04-07,06:20,08:55,BRU,PMI,2u 35m,Direct,TB 1419,10,299.99,TB~1419~ ~BRU~2023-04-07 06:20~PMI~2023-04-07 08:55~
2023-03-09,2023-04-09,2023-04-09,06:30,09:05,BRU,PMI,2u 35m,Direct,TB 1417,10,129.99,TB~1417~ ~BRU~2023-04-09 06:30~PMI~2023-04-09 09:05~
2023-03-09,2023-04-10,2023-04-10,06:15,08:50,BRU,PMI,2u 35m,Direct,TB 1411,10,124.99,TB~1411~ ~BRU~2023-04-10 06:15~PMI~2023-04-10 08:50~
2023-03-09,2023-04-11,2023-04-11,15:30,18:05,BRU,PMI,2u 35m,Direct,TB 1413,10,99.99,TB~1413~ ~BRU~2023-04-11 15:30~PMI~2023-04-11 18:05~
2023-03-09,2023-04-13,2023-04-13,06:20,08:55,BRU,PMI,2u 35m,Direct,TB 1417,10,77.99,TB~1417~ ~BRU~2023-04-13 06:20~PMI~2023-04-13 08:55~
2023-03-09,2023-04-14,2023-04-14,06:20,08:55,BRU,PMI,2u 35m,Direct,TB 1419,10,139.99,TB~1419~ ~BRU~2023-04-14 06:20~PMI~2023-04-14 08:55~
2023-03-09,2023-04-16,2023-04-16,06:30,09:05,BRU,PMI,2u 35m,Direct,TB 1417,10,124.99,TB~1417~ ~BRU~2023-04-16 06:30~PMI~2023-04-16 09:05~
