search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-05-15,2023-05-15,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,234.99,TB~3581~ ~BRU~2023-05-15 06:00~PMO~2023-05-15 10:20~
2023-03-08,2023-05-22,2023-05-22,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,149.99,TB~3581~ ~BRU~2023-05-22 06:00~PMO~2023-05-22 10:20~
2023-03-08,2023-05-29,2023-05-29,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,219.99,TB~3581~ ~BRU~2023-05-29 06:00~PMO~2023-05-29 10:20~
2023-03-08,2023-06-05,2023-06-05,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,199.99,TB~3581~ ~BRU~2023-06-05 06:00~PMO~2023-06-05 10:20~
2023-03-08,2023-06-12,2023-06-12,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,169.99,TB~3581~ ~BRU~2023-06-12 06:00~PMO~2023-06-12 10:20~
2023-03-08,2023-06-19,2023-06-19,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,219.99,TB~3581~ ~BRU~2023-06-19 06:00~PMO~2023-06-19 10:20~
2023-03-08,2023-06-26,2023-06-26,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,239.99,TB~3581~ ~BRU~2023-06-26 06:00~PMO~2023-06-26 10:20~
2023-03-08,2023-07-03,2023-07-03,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,359.99,TB~3581~ ~BRU~2023-07-03 06:00~PMO~2023-07-03 10:20~
2023-03-08,2023-07-10,2023-07-10,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,349.99,TB~3581~ ~BRU~2023-07-10 06:00~PMO~2023-07-10 10:20~
2023-03-08,2023-07-17,2023-07-17,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,349.99,TB~3581~ ~BRU~2023-07-17 06:00~PMO~2023-07-17 10:20~
2023-03-08,2023-07-24,2023-07-24,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,329.99,TB~3581~ ~BRU~2023-07-24 06:00~PMO~2023-07-24 10:20~
2023-03-08,2023-07-31,2023-07-31,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,299.99,TB~3581~ ~BRU~2023-07-31 06:00~PMO~2023-07-31 10:20~
2023-03-08,2023-08-07,2023-08-07,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,359.99,TB~3581~ ~BRU~2023-08-07 06:00~PMO~2023-08-07 10:20~
2023-03-08,2023-08-14,2023-08-14,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,329.99,TB~3581~ ~BRU~2023-08-14 06:00~PMO~2023-08-14 10:20~
2023-03-08,2023-08-21,2023-08-21,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,179.99,TB~3581~ ~BRU~2023-08-21 06:00~PMO~2023-08-21 10:20~
2023-03-08,2023-08-28,2023-08-28,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,169.99,TB~3581~ ~BRU~2023-08-28 06:00~PMO~2023-08-28 10:20~
2023-03-08,2023-09-04,2023-09-04,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,144.99,TB~3581~ ~BRU~2023-09-04 06:00~PMO~2023-09-04 10:20~
2023-03-08,2023-09-11,2023-09-11,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,179.99,TB~3581~ ~BRU~2023-09-11 06:00~PMO~2023-09-11 10:20~
2023-03-08,2023-09-18,2023-09-18,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,179.99,TB~3581~ ~BRU~2023-09-18 06:00~PMO~2023-09-18 10:20~
2023-03-08,2023-09-25,2023-09-25,06:00,10:20,BRU,PMO,4u 20m,Stop Over,TB3581,10,179.99,TB~3581~ ~BRU~2023-09-25 06:00~PMO~2023-09-25 10:20~
