search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-16,2023-04-16,07:30,12:30,BRU,RHO,4u 0m,Direct,TB 2341,10,184.99,TB~2341~ ~BRU~2023-04-16 07:30~RHO~2023-04-16 12:30~
2023-03-09,2023-04-18,2023-04-18,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2367,10,219.99,TB~2367~ ~BRU~2023-04-18 06:00~RHO~2023-04-18 11:00~
2023-03-09,2023-04-21,2023-04-21,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,259.99,TB~2341~ ~BRU~2023-04-21 06:00~RHO~2023-04-21 11:00~
2023-03-09,2023-04-22,2023-04-22,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,349.99,TB~2341~ ~BRU~2023-04-22 14:15~RHO~2023-04-22 19:15~
2023-03-09,2023-04-23,2023-04-23,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,259.99,TB~2341~ ~BRU~2023-04-23 14:15~RHO~2023-04-23 19:15~
2023-03-09,2023-04-25,2023-04-25,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2367,10,299.99,TB~2367~ ~BRU~2023-04-25 06:00~RHO~2023-04-25 11:00~
2023-03-09,2023-04-28,2023-04-28,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,309.99,TB~2341~ ~BRU~2023-04-28 06:00~RHO~2023-04-28 11:00~
2023-03-09,2023-04-29,2023-04-29,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,309.99,TB~2341~ ~BRU~2023-04-29 14:15~RHO~2023-04-29 19:15~
2023-03-09,2023-04-30,2023-04-30,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,309.99,TB~2341~ ~BRU~2023-04-30 14:15~RHO~2023-04-30 19:15~
2023-03-09,2023-05-02,2023-05-02,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,1,499.99,TB~2341~ ~BRU~2023-05-02 06:00~RHO~2023-05-02 11:00~
2023-03-09,2023-05-05,2023-05-05,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,349.99,TB~2341~ ~BRU~2023-05-05 06:00~RHO~2023-05-05 11:00~
2023-03-09,2023-05-06,2023-05-06,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,279.99,TB~2341~ ~BRU~2023-05-06 14:15~RHO~2023-05-06 19:15~
2023-03-09,2023-05-07,2023-05-07,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,189.99,TB~2341~ ~BRU~2023-05-07 14:15~RHO~2023-05-07 19:15~
2023-03-09,2023-05-09,2023-05-09,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,8,249.99,TB~2341~ ~BRU~2023-05-09 06:00~RHO~2023-05-09 11:00~
2023-03-09,2023-05-12,2023-05-12,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,294.99,TB~2341~ ~BRU~2023-05-12 06:00~RHO~2023-05-12 11:00~
2023-03-09,2023-05-13,2023-05-13,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,294.99,TB~2341~ ~BRU~2023-05-13 14:15~RHO~2023-05-13 19:15~
2023-03-09,2023-05-14,2023-05-14,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,294.99,TB~2341~ ~BRU~2023-05-14 14:15~RHO~2023-05-14 19:15~
2023-03-09,2023-05-16,2023-05-16,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,349.99,TB~2341~ ~BRU~2023-05-16 06:00~RHO~2023-05-16 11:00~
2023-03-09,2023-05-19,2023-05-19,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,399.99,TB~2341~ ~BRU~2023-05-19 06:00~RHO~2023-05-19 11:00~
2023-03-09,2023-05-20,2023-05-20,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,199.99,TB~2341~ ~BRU~2023-05-20 14:15~RHO~2023-05-20 19:15~
2023-03-09,2023-05-21,2023-05-21,14:15,19:15,BRU,RHO,4u 0m,Direct,TB 2341,10,199.99,TB~2341~ ~BRU~2023-05-21 14:15~RHO~2023-05-21 19:15~
2023-03-09,2023-05-23,2023-05-23,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,249.99,TB~2341~ ~BRU~2023-05-23 06:00~RHO~2023-05-23 11:00~
2023-03-09,2023-05-26,2023-05-26,06:00,11:00,BRU,RHO,4u 0m,Direct,TB 2341,10,349.99,TB~2341~ ~BRU~2023-05-26 06:00~RHO~2023-05-26 11:00~
