search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-01,2023-04-01,08:00,12:00,BRU,TFS,5u 0m,Direct,TB1753,10,519.99,TB~1753~ ~BRU~2023-04-01 08:00~TFS~2023-04-01 12:00~
2023-03-08,2023-04-01,2023-04-01,16:20,20:20,BRU,TFS,5u 0m,Direct,TB1755,10,229.99,TB~1755~ ~BRU~2023-04-01 16:20~TFS~2023-04-01 20:20~
2023-03-08,2023-04-02,2023-04-02,14:10,18:10,BRU,TFS,5u 0m,Direct,TB1753,10,259.99,TB~1753~ ~BRU~2023-04-02 14:10~TFS~2023-04-02 18:10~
2023-03-08,2023-04-03,2023-04-03,06:10,10:10,BRU,TFS,5u 0m,Direct,TB1751,10,519.99,TB~1751~ ~BRU~2023-04-03 06:10~TFS~2023-04-03 10:10~
2023-03-08,2023-04-04,2023-04-04,06:05,10:05,BRU,TFS,5u 0m,Direct,TB1753,10,359.99,TB~1753~ ~BRU~2023-04-04 06:05~TFS~2023-04-04 10:05~
2023-03-08,2023-04-08,2023-04-08,06:05,10:05,BRU,TFS,5u 0m,Direct,TB1751,1,549.99,TB~1751~ ~BRU~2023-04-08 06:05~TFS~2023-04-08 10:05~
2023-03-08,2023-04-08,2023-04-08,08:00,12:00,BRU,TFS,5u 0m,Direct,TB1753,3,549.99,TB~1753~ ~BRU~2023-04-08 08:00~TFS~2023-04-08 12:00~
2023-03-08,2023-04-08,2023-04-08,16:20,20:20,BRU,TFS,5u 0m,Direct,TB1755,10,379.99,TB~1755~ ~BRU~2023-04-08 16:20~TFS~2023-04-08 20:20~
2023-03-08,2023-04-09,2023-04-09,14:10,18:10,BRU,TFS,5u 0m,Direct,TB1753,10,244.99,TB~1753~ ~BRU~2023-04-09 14:10~TFS~2023-04-09 18:10~
2023-03-08,2023-04-10,2023-04-10,06:10,10:10,BRU,TFS,5u 0m,Direct,TB1751,10,319.99,TB~1751~ ~BRU~2023-04-10 06:10~TFS~2023-04-10 10:10~
2023-03-08,2023-04-11,2023-04-11,06:05,10:05,BRU,TFS,5u 0m,Direct,TB1753,10,169.99,TB~1753~ ~BRU~2023-04-11 06:05~TFS~2023-04-11 10:05~
2023-03-08,2023-04-15,2023-04-15,06:05,10:05,BRU,TFS,5u 0m,Direct,TB1751,10,249.99,TB~1751~ ~BRU~2023-04-15 06:05~TFS~2023-04-15 10:05~
2023-03-08,2023-04-15,2023-04-15,08:00,12:00,BRU,TFS,5u 0m,Direct,TB1753,10,144.99,TB~1753~ ~BRU~2023-04-15 08:00~TFS~2023-04-15 12:00~
