search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-03,2023-04-03,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,164.99,TB~1161~ ~LGG~2023-04-03 06:00~AGP~2023-04-03 10:50~
2023-03-09,2023-04-07,2023-04-07,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,149.99,TB~1161~ ~LGG~2023-04-07 06:00~AGP~2023-04-07 10:50~
2023-03-09,2023-04-10,2023-04-10,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,139.99,TB~1161~ ~LGG~2023-04-10 06:00~AGP~2023-04-10 10:50~
2023-03-09,2023-04-14,2023-04-14,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,114.99,TB~1161~ ~LGG~2023-04-14 06:00~AGP~2023-04-14 10:50~
2023-03-09,2023-04-17,2023-04-17,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,114.99,TB~1161~ ~LGG~2023-04-17 06:00~AGP~2023-04-17 10:50~
2023-03-09,2023-04-21,2023-04-21,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,119.99,TB~1161~ ~LGG~2023-04-21 06:00~AGP~2023-04-21 10:50~
2023-03-09,2023-04-24,2023-04-24,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,124.99,TB~1161~ ~LGG~2023-04-24 06:00~AGP~2023-04-24 10:50~
2023-03-09,2023-04-28,2023-04-28,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,209.99,TB~1161~ ~LGG~2023-04-28 06:00~AGP~2023-04-28 10:50~
2023-03-09,2023-05-01,2023-05-01,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,254.99,TB~1161~ ~LGG~2023-05-01 06:00~AGP~2023-05-01 10:50~
2023-03-09,2023-05-05,2023-05-05,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,254.99,TB~1161~ ~LGG~2023-05-05 06:00~AGP~2023-05-05 10:50~
2023-03-09,2023-05-08,2023-05-08,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,124.99,TB~1161~ ~LGG~2023-05-08 06:00~AGP~2023-05-08 10:50~
2023-03-09,2023-05-12,2023-05-12,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,144.99,TB~1161~ ~LGG~2023-05-12 06:00~AGP~2023-05-12 10:50~
2023-03-09,2023-05-15,2023-05-15,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,144.99,TB~1161~ ~LGG~2023-05-15 06:00~AGP~2023-05-15 10:50~
2023-03-09,2023-05-19,2023-05-19,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,184.99,TB~1161~ ~LGG~2023-05-19 06:00~AGP~2023-05-19 10:50~
2023-03-09,2023-05-22,2023-05-22,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,124.99,TB~1161~ ~LGG~2023-05-22 06:00~AGP~2023-05-22 10:50~
2023-03-09,2023-05-26,2023-05-26,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,144.99,TB~1161~ ~LGG~2023-05-26 06:00~AGP~2023-05-26 10:50~
2023-03-09,2023-05-29,2023-05-29,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,124.99,TB~1161~ ~LGG~2023-05-29 06:00~AGP~2023-05-29 10:50~
2023-03-09,2023-06-02,2023-06-02,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,149.99,TB~1161~ ~LGG~2023-06-02 06:00~AGP~2023-06-02 10:50~
2023-03-09,2023-06-05,2023-06-05,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,114.99,TB~1161~ ~LGG~2023-06-05 06:00~AGP~2023-06-05 10:50~
2023-03-09,2023-06-09,2023-06-09,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,104.99,TB~1161~ ~LGG~2023-06-09 06:00~AGP~2023-06-09 10:50~
2023-03-09,2023-06-12,2023-06-12,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,134.99,TB~1161~ ~LGG~2023-06-12 06:00~AGP~2023-06-12 10:50~
2023-03-09,2023-06-16,2023-06-16,06:00,10:50,LGG,AGP,4u 50m,Stop Over,TB 1161,10,119.99,TB~1161~ ~LGG~2023-06-16 06:00~AGP~2023-06-16 10:50~
