search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-01,2023-04-01,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,259.99,TB~1071~ ~OST~2023-04-01 06:50~AGP~2023-04-01 10:00~
2023-03-09,2023-04-02,2023-04-02,06:15,09:25,OST,AGP,3u 10m,Direct,TB 1071,10,229.99,TB~1071~ ~OST~2023-04-02 06:15~AGP~2023-04-02 09:25~
2023-03-09,2023-04-03,2023-04-03,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,239.99,TB~1071~ ~OST~2023-04-03 16:45~AGP~2023-04-03 19:55~
2023-03-09,2023-04-05,2023-04-05,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,199.99,TB~1071~ ~OST~2023-04-05 06:30~AGP~2023-04-05 09:40~
2023-03-09,2023-04-06,2023-04-06,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,149.99,TB~1071~ ~OST~2023-04-06 06:25~AGP~2023-04-06 09:35~
2023-03-09,2023-04-07,2023-04-07,06:00,09:10,OST,AGP,3u 10m,Direct,TB 1071,10,199.99,TB~1071~ ~OST~2023-04-07 06:00~AGP~2023-04-07 09:10~
2023-03-09,2023-04-08,2023-04-08,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,309.99,TB~1071~ ~OST~2023-04-08 06:50~AGP~2023-04-08 10:00~
2023-03-09,2023-04-09,2023-04-09,06:15,09:25,OST,AGP,3u 10m,Direct,TB 1071,10,289.99,TB~1071~ ~OST~2023-04-09 06:15~AGP~2023-04-09 09:25~
2023-03-09,2023-04-10,2023-04-10,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,164.99,TB~1071~ ~OST~2023-04-10 16:45~AGP~2023-04-10 19:55~
2023-03-09,2023-04-12,2023-04-12,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,124.99,TB~1071~ ~OST~2023-04-12 06:30~AGP~2023-04-12 09:40~
2023-03-09,2023-04-13,2023-04-13,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,99.99,TB~1071~ ~OST~2023-04-13 06:25~AGP~2023-04-13 09:35~
2023-03-09,2023-04-14,2023-04-14,06:00,09:10,OST,AGP,3u 10m,Direct,TB 1071,10,104.99,TB~1071~ ~OST~2023-04-14 06:00~AGP~2023-04-14 09:10~
2023-03-09,2023-04-15,2023-04-15,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,134.99,TB~1071~ ~OST~2023-04-15 06:50~AGP~2023-04-15 10:00~
2023-03-09,2023-04-16,2023-04-16,06:15,09:25,OST,AGP,3u 10m,Direct,TB 1071,10,149.99,TB~1071~ ~OST~2023-04-16 06:15~AGP~2023-04-16 09:25~
2023-03-09,2023-04-17,2023-04-17,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,124.99,TB~1071~ ~OST~2023-04-17 16:45~AGP~2023-04-17 19:55~
2023-03-09,2023-04-19,2023-04-19,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,179.99,TB~1071~ ~OST~2023-04-19 06:30~AGP~2023-04-19 09:40~
2023-03-09,2023-04-20,2023-04-20,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,189.99,TB~1071~ ~OST~2023-04-20 06:25~AGP~2023-04-20 09:35~
2023-03-09,2023-04-21,2023-04-21,17:10,20:20,OST,AGP,3u 10m,Direct,TB 1071,10,154.99,TB~1071~ ~OST~2023-04-21 17:10~AGP~2023-04-21 20:20~
2023-03-09,2023-04-22,2023-04-22,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,199.99,TB~1071~ ~OST~2023-04-22 06:50~AGP~2023-04-22 10:00~
2023-03-09,2023-04-23,2023-04-23,06:00,09:10,OST,AGP,3u 10m,Direct,TB 1071,10,169.99,TB~1071~ ~OST~2023-04-23 06:00~AGP~2023-04-23 09:10~
2023-03-09,2023-04-24,2023-04-24,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,144.99,TB~1071~ ~OST~2023-04-24 16:45~AGP~2023-04-24 19:55~
2023-03-09,2023-04-26,2023-04-26,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,169.99,TB~1071~ ~OST~2023-04-26 06:30~AGP~2023-04-26 09:40~
2023-03-09,2023-04-27,2023-04-27,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,199.99,TB~1071~ ~OST~2023-04-27 06:25~AGP~2023-04-27 09:35~
2023-03-09,2023-04-28,2023-04-28,17:10,20:20,OST,AGP,3u 10m,Direct,TB 1071,10,189.99,TB~1071~ ~OST~2023-04-28 17:10~AGP~2023-04-28 20:20~
2023-03-09,2023-04-29,2023-04-29,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,204.99,TB~1071~ ~OST~2023-04-29 06:50~AGP~2023-04-29 10:00~
2023-03-09,2023-04-30,2023-04-30,14:30,17:40,OST,AGP,3u 10m,Direct,TB 1071,10,159.99,TB~1071~ ~OST~2023-04-30 14:30~AGP~2023-04-30 17:40~
2023-03-09,2023-05-01,2023-05-01,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,204.99,TB~1071~ ~OST~2023-05-01 16:45~AGP~2023-05-01 19:55~
2023-03-09,2023-05-03,2023-05-03,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,184.99,TB~1071~ ~OST~2023-05-03 06:30~AGP~2023-05-03 09:40~
2023-03-09,2023-05-04,2023-05-04,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,144.99,TB~1071~ ~OST~2023-05-04 06:25~AGP~2023-05-04 09:35~
2023-03-09,2023-05-05,2023-05-05,17:10,20:20,OST,AGP,3u 10m,Direct,TB 1071,10,139.99,TB~1071~ ~OST~2023-05-05 17:10~AGP~2023-05-05 20:20~
2023-03-09,2023-05-06,2023-05-06,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,164.99,TB~1071~ ~OST~2023-05-06 06:50~AGP~2023-05-06 10:00~
2023-03-09,2023-05-07,2023-05-07,14:30,17:40,OST,AGP,3u 10m,Direct,TB 1071,10,154.99,TB~1071~ ~OST~2023-05-07 14:30~AGP~2023-05-07 17:40~
2023-03-09,2023-05-08,2023-05-08,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,114.99,TB~1071~ ~OST~2023-05-08 16:45~AGP~2023-05-08 19:55~
2023-03-09,2023-05-10,2023-05-10,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,179.99,TB~1071~ ~OST~2023-05-10 06:30~AGP~2023-05-10 09:40~
2023-03-09,2023-05-11,2023-05-11,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,159.99,TB~1071~ ~OST~2023-05-11 06:25~AGP~2023-05-11 09:35~
2023-03-09,2023-05-12,2023-05-12,17:10,20:20,OST,AGP,3u 10m,Direct,TB 1071,10,164.99,TB~1071~ ~OST~2023-05-12 17:10~AGP~2023-05-12 20:20~
2023-03-09,2023-05-13,2023-05-13,06:50,10:00,OST,AGP,3u 10m,Direct,TB 1071,10,269.99,TB~1071~ ~OST~2023-05-13 06:50~AGP~2023-05-13 10:00~
2023-03-09,2023-05-14,2023-05-14,14:30,17:40,OST,AGP,3u 10m,Direct,TB 1071,10,164.99,TB~1071~ ~OST~2023-05-14 14:30~AGP~2023-05-14 17:40~
2023-03-09,2023-05-15,2023-05-15,16:45,19:55,OST,AGP,3u 10m,Direct,TB 1071,10,139.99,TB~1071~ ~OST~2023-05-15 16:45~AGP~2023-05-15 19:55~
2023-03-09,2023-05-17,2023-05-17,06:30,09:40,OST,AGP,3u 10m,Direct,TB 1071,10,309.99,TB~1071~ ~OST~2023-05-17 06:30~AGP~2023-05-17 09:40~
2023-03-09,2023-05-18,2023-05-18,06:25,09:35,OST,AGP,3u 10m,Direct,TB 1071,10,359.99,TB~1071~ ~OST~2023-05-18 06:25~AGP~2023-05-18 09:35~
2023-03-09,2023-05-19,2023-05-19,17:10,20:20,OST,AGP,3u 10m,Direct,TB 1071,10,159.99,TB~1071~ ~OST~2023-05-19 17:10~AGP~2023-05-19 20:20~
