search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-01,2023-04-01,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1171,10,199.99,TB~1171~ ~OST~2023-04-01 06:00~ALC~2023-04-01 08:50~
2023-03-09,2023-04-02,2023-04-02,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1183,10,244.99,TB~1183~ ~OST~2023-04-02 06:00~ALC~2023-04-02 08:50~
2023-03-09,2023-04-03,2023-04-03,14:30,17:20,OST,ALC,2u 50m,Direct,TB 1171,10,164.99,TB~1171~ ~OST~2023-04-03 14:30~ALC~2023-04-03 17:20~
2023-03-09,2023-04-04,2023-04-04,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1171,10,149.99,TB~1171~ ~OST~2023-04-04 06:00~ALC~2023-04-04 08:50~
2023-03-09,2023-04-05,2023-04-05,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1171,10,139.99,TB~1171~ ~OST~2023-04-05 06:00~ALC~2023-04-05 08:50~
2023-03-09,2023-04-06,2023-04-06,07:00,09:50,OST,ALC,2u 50m,Direct,TB 1171,10,149.99,TB~1171~ ~OST~2023-04-06 07:00~ALC~2023-04-06 09:50~
2023-03-09,2023-04-07,2023-04-07,07:00,09:50,OST,ALC,2u 50m,Direct,TB 1183,10,204.99,TB~1183~ ~OST~2023-04-07 07:00~ALC~2023-04-07 09:50~
2023-03-09,2023-04-08,2023-04-08,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1171,10,214.99,TB~1171~ ~OST~2023-04-08 06:00~ALC~2023-04-08 08:50~
2023-03-09,2023-04-09,2023-04-09,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1183,10,214.99,TB~1183~ ~OST~2023-04-09 06:00~ALC~2023-04-09 08:50~
2023-03-09,2023-04-10,2023-04-10,14:30,17:20,OST,ALC,2u 50m,Direct,TB 1171,10,139.99,TB~1171~ ~OST~2023-04-10 14:30~ALC~2023-04-10 17:20~
2023-03-09,2023-04-11,2023-04-11,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1171,10,144.99,TB~1171~ ~OST~2023-04-11 06:00~ALC~2023-04-11 08:50~
2023-03-09,2023-04-12,2023-04-12,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1171,10,114.99,TB~1171~ ~OST~2023-04-12 06:00~ALC~2023-04-12 08:50~
2023-03-09,2023-04-13,2023-04-13,07:00,09:50,OST,ALC,2u 50m,Direct,TB 1171,10,104.99,TB~1171~ ~OST~2023-04-13 07:00~ALC~2023-04-13 09:50~
2023-03-09,2023-04-14,2023-04-14,07:00,09:50,OST,ALC,2u 50m,Direct,TB 1183,10,169.99,TB~1183~ ~OST~2023-04-14 07:00~ALC~2023-04-14 09:50~
2023-03-09,2023-04-15,2023-04-15,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1187,10,174.99,TB~1187~ ~OST~2023-04-15 06:00~ALC~2023-04-15 08:50~
2023-03-09,2023-04-16,2023-04-16,06:00,08:50,OST,ALC,2u 50m,Direct,TB 1183,10,169.99,TB~1183~ ~OST~2023-04-16 06:00~ALC~2023-04-16 08:50~
