search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-28,2023-04-28,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,309.99,TB~2281~ ~OST~2023-04-28 06:30~HER~2023-04-28 11:30~
2023-03-09,2023-05-05,2023-05-05,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,279.99,TB~2281~ ~OST~2023-05-05 06:30~HER~2023-05-05 11:30~
2023-03-09,2023-05-12,2023-05-12,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,244.99,TB~2281~ ~OST~2023-05-12 06:30~HER~2023-05-12 11:30~
2023-03-09,2023-05-19,2023-05-19,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,254.99,TB~2281~ ~OST~2023-05-19 06:30~HER~2023-05-19 11:30~
2023-03-09,2023-05-26,2023-05-26,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,279.99,TB~2281~ ~OST~2023-05-26 06:30~HER~2023-05-26 11:30~
2023-03-09,2023-05-30,2023-05-30,14:15,20:50,OST,HER,5u 35m,Stop Over,TB 2185,10,149.99,TB~2185~ ~OST~2023-05-30 14:15~HER~2023-05-30 20:50~
2023-03-09,2023-06-02,2023-06-02,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,189.99,TB~2281~ ~OST~2023-06-02 06:30~HER~2023-06-02 11:30~
2023-03-09,2023-06-06,2023-06-06,14:15,20:50,OST,HER,5u 35m,Stop Over,TB 2185,10,149.99,TB~2185~ ~OST~2023-06-06 14:15~HER~2023-06-06 20:50~
2023-03-09,2023-06-09,2023-06-09,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,189.99,TB~2281~ ~OST~2023-06-09 06:30~HER~2023-06-09 11:30~
2023-03-09,2023-06-13,2023-06-13,14:15,20:50,OST,HER,5u 35m,Stop Over,TB 2185,10,149.99,TB~2185~ ~OST~2023-06-13 14:15~HER~2023-06-13 20:50~
2023-03-09,2023-06-16,2023-06-16,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,189.99,TB~2281~ ~OST~2023-06-16 06:30~HER~2023-06-16 11:30~
2023-03-09,2023-06-20,2023-06-20,14:15,20:50,OST,HER,5u 35m,Stop Over,TB 2185,10,149.99,TB~2185~ ~OST~2023-06-20 14:15~HER~2023-06-20 20:50~
2023-03-09,2023-06-23,2023-06-23,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,199.99,TB~2281~ ~OST~2023-06-23 06:30~HER~2023-06-23 11:30~
2023-03-09,2023-06-27,2023-06-27,13:10,19:45,OST,HER,5u 35m,Stop Over,TB 2185,10,249.99,TB~2185~ ~OST~2023-06-27 13:10~HER~2023-06-27 19:45~
2023-03-09,2023-06-30,2023-06-30,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,269.99,TB~2281~ ~OST~2023-06-30 06:30~HER~2023-06-30 11:30~
2023-03-09,2023-07-04,2023-07-04,13:10,19:45,OST,HER,5u 35m,Stop Over,TB 2185,10,249.99,TB~2185~ ~OST~2023-07-04 13:10~HER~2023-07-04 19:45~
2023-03-09,2023-07-07,2023-07-07,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,249.99,TB~2281~ ~OST~2023-07-07 06:30~HER~2023-07-07 11:30~
2023-03-09,2023-07-11,2023-07-11,13:10,19:45,OST,HER,5u 35m,Stop Over,TB 2185,10,269.99,TB~2185~ ~OST~2023-07-11 13:10~HER~2023-07-11 19:45~
2023-03-09,2023-07-14,2023-07-14,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,359.99,TB~2281~ ~OST~2023-07-14 06:30~HER~2023-07-14 11:30~
2023-03-09,2023-07-18,2023-07-18,13:10,19:45,OST,HER,5u 35m,Stop Over,TB 2185,10,254.99,TB~2185~ ~OST~2023-07-18 13:10~HER~2023-07-18 19:45~
2023-03-09,2023-07-21,2023-07-21,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,249.99,TB~2281~ ~OST~2023-07-21 06:30~HER~2023-07-21 11:30~
2023-03-09,2023-07-25,2023-07-25,13:10,19:45,OST,HER,5u 35m,Stop Over,TB 2185,10,349.99,TB~2185~ ~OST~2023-07-25 13:10~HER~2023-07-25 19:45~
2023-03-09,2023-07-28,2023-07-28,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,349.99,TB~2281~ ~OST~2023-07-28 06:30~HER~2023-07-28 11:30~
2023-03-09,2023-08-01,2023-08-01,13:10,19:45,OST,HER,5u 35m,Stop Over,TB 2185,10,219.99,TB~2185~ ~OST~2023-08-01 13:10~HER~2023-08-01 19:45~
2023-03-09,2023-08-04,2023-08-04,06:30,11:30,OST,HER,4u 0m,Direct,TB 2281,10,274.99,TB~2281~ ~OST~2023-08-04 06:30~HER~2023-08-04 11:30~
