search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-24,2023-04-24,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,99.99,TB~1341~ ~OST~2023-04-24 16:30~IBZ~2023-04-24 19:15~
2023-03-08,2023-05-01,2023-05-01,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,129.99,TB~1341~ ~OST~2023-05-01 16:30~IBZ~2023-05-01 19:15~
2023-03-08,2023-05-08,2023-05-08,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,99.99,TB~1341~ ~OST~2023-05-08 16:30~IBZ~2023-05-08 19:15~
2023-03-08,2023-05-15,2023-05-15,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,129.99,TB~1341~ ~OST~2023-05-15 16:30~IBZ~2023-05-15 19:15~
2023-03-08,2023-05-22,2023-05-22,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,104.99,TB~1341~ ~OST~2023-05-22 16:30~IBZ~2023-05-22 19:15~
2023-03-08,2023-05-29,2023-05-29,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,144.99,TB~1341~ ~OST~2023-05-29 16:30~IBZ~2023-05-29 19:15~
2023-03-08,2023-06-05,2023-06-05,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,95.99,TB~1341~ ~OST~2023-06-05 16:30~IBZ~2023-06-05 19:15~
2023-03-08,2023-06-12,2023-06-12,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,97.99,TB~1341~ ~OST~2023-06-12 16:30~IBZ~2023-06-12 19:15~
2023-03-08,2023-06-19,2023-06-19,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,85.99,TB~1341~ ~OST~2023-06-19 16:30~IBZ~2023-06-19 19:15~
2023-03-08,2023-06-26,2023-06-26,16:30,19:15,OST,IBZ,2u 45m,Direct,TB1341,10,99.99,TB~1341~ ~OST~2023-06-26 16:30~IBZ~2023-06-26 19:15~
2023-03-08,2023-07-03,2023-07-03,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,169.99,TB~1341~ ~OST~2023-07-03 15:05~IBZ~2023-07-03 17:50~
2023-03-08,2023-07-10,2023-07-10,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,209.99,TB~1341~ ~OST~2023-07-10 15:05~IBZ~2023-07-10 17:50~
2023-03-08,2023-07-17,2023-07-17,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,244.99,TB~1341~ ~OST~2023-07-17 15:05~IBZ~2023-07-17 17:50~
2023-03-08,2023-07-24,2023-07-24,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,209.99,TB~1341~ ~OST~2023-07-24 15:05~IBZ~2023-07-24 17:50~
2023-03-08,2023-07-31,2023-07-31,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,209.99,TB~1341~ ~OST~2023-07-31 15:05~IBZ~2023-07-31 17:50~
2023-03-08,2023-08-07,2023-08-07,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,134.99,TB~1341~ ~OST~2023-08-07 15:05~IBZ~2023-08-07 17:50~
2023-03-08,2023-08-14,2023-08-14,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,189.99,TB~1341~ ~OST~2023-08-14 15:05~IBZ~2023-08-14 17:50~
2023-03-08,2023-08-21,2023-08-21,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,129.99,TB~1341~ ~OST~2023-08-21 15:05~IBZ~2023-08-21 17:50~
2023-03-08,2023-08-28,2023-08-28,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,99.99,TB~1341~ ~OST~2023-08-28 15:05~IBZ~2023-08-28 17:50~
2023-03-08,2023-09-04,2023-09-04,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,95.99,TB~1341~ ~OST~2023-09-04 15:05~IBZ~2023-09-04 17:50~
2023-03-08,2023-09-11,2023-09-11,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,104.99,TB~1341~ ~OST~2023-09-11 15:05~IBZ~2023-09-11 17:50~
2023-03-08,2023-09-18,2023-09-18,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,149.99,TB~1341~ ~OST~2023-09-18 15:05~IBZ~2023-09-18 17:50~
2023-03-08,2023-09-25,2023-09-25,15:05,17:50,OST,IBZ,2u 45m,Direct,TB1341,10,149.99,TB~1341~ ~OST~2023-09-25 15:05~IBZ~2023-09-25 17:50~
