search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-09,2023-04-02,2023-04-02,06:00,10:40,OST,PMI,4u 40m,Stop Over,TB 1183,4,379.99,TB~1183~ ~OST~2023-04-02 06:00~PMI~2023-04-02 10:40~
2023-03-09,2023-04-07,2023-04-07,07:00,11:40,OST,PMI,4u 40m,Stop Over,TB 1183,10,229.99,TB~1183~ ~OST~2023-04-07 07:00~PMI~2023-04-07 11:40~
2023-03-09,2023-04-09,2023-04-09,06:00,10:40,OST,PMI,4u 40m,Stop Over,TB 1183,10,274.99,TB~1183~ ~OST~2023-04-09 06:00~PMI~2023-04-09 10:40~
2023-03-09,2023-04-14,2023-04-14,07:00,11:40,OST,PMI,4u 40m,Stop Over,TB 1183,10,149.99,TB~1183~ ~OST~2023-04-14 07:00~PMI~2023-04-14 11:40~
2023-03-09,2023-04-16,2023-04-16,06:00,10:40,OST,PMI,4u 40m,Stop Over,TB 1183,10,179.99,TB~1183~ ~OST~2023-04-16 06:00~PMI~2023-04-16 10:40~
2023-03-09,2023-04-21,2023-04-21,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,219.99,TB~1451~ ~OST~2023-04-21 15:30~PMI~2023-04-21 18:05~
2023-03-09,2023-04-23,2023-04-23,06:00,10:40,OST,PMI,4u 40m,Stop Over,TB 1183,10,279.99,TB~1183~ ~OST~2023-04-23 06:00~PMI~2023-04-23 10:40~
2023-03-09,2023-04-28,2023-04-28,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,149.99,TB~1451~ ~OST~2023-04-28 15:30~PMI~2023-04-28 18:05~
2023-03-09,2023-04-30,2023-04-30,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,129.99,TB~1441~ ~OST~2023-04-30 07:00~PMI~2023-04-30 09:35~
2023-03-09,2023-05-05,2023-05-05,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,224.99,TB~1451~ ~OST~2023-05-05 15:30~PMI~2023-05-05 18:05~
2023-03-09,2023-05-07,2023-05-07,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,149.99,TB~1441~ ~OST~2023-05-07 07:00~PMI~2023-05-07 09:35~
2023-03-09,2023-05-09,2023-05-09,06:20,08:55,OST,PMI,2u 35m,Direct,TB 1441,10,134.99,TB~1441~ ~OST~2023-05-09 06:20~PMI~2023-05-09 08:55~
2023-03-09,2023-05-12,2023-05-12,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,154.99,TB~1451~ ~OST~2023-05-12 15:30~PMI~2023-05-12 18:05~
2023-03-09,2023-05-14,2023-05-14,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,249.99,TB~1441~ ~OST~2023-05-14 07:00~PMI~2023-05-14 09:35~
2023-03-09,2023-05-16,2023-05-16,06:20,08:55,OST,PMI,2u 35m,Direct,TB 1441,10,209.99,TB~1441~ ~OST~2023-05-16 06:20~PMI~2023-05-16 08:55~
2023-03-09,2023-05-19,2023-05-19,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,149.99,TB~1451~ ~OST~2023-05-19 15:30~PMI~2023-05-19 18:05~
2023-03-09,2023-05-21,2023-05-21,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,149.99,TB~1441~ ~OST~2023-05-21 07:00~PMI~2023-05-21 09:35~
2023-03-09,2023-05-23,2023-05-23,06:20,08:55,OST,PMI,2u 35m,Direct,TB 1441,10,139.99,TB~1441~ ~OST~2023-05-23 06:20~PMI~2023-05-23 08:55~
2023-03-09,2023-05-26,2023-05-26,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,189.99,TB~1451~ ~OST~2023-05-26 15:30~PMI~2023-05-26 18:05~
2023-03-09,2023-05-28,2023-05-28,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,234.99,TB~1441~ ~OST~2023-05-28 07:00~PMI~2023-05-28 09:35~
2023-03-09,2023-05-30,2023-05-30,06:20,08:55,OST,PMI,2u 35m,Direct,TB 1441,10,169.99,TB~1441~ ~OST~2023-05-30 06:20~PMI~2023-05-30 08:55~
2023-03-09,2023-06-02,2023-06-02,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,229.99,TB~1451~ ~OST~2023-06-02 15:30~PMI~2023-06-02 18:05~
2023-03-09,2023-06-04,2023-06-04,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,179.99,TB~1441~ ~OST~2023-06-04 07:00~PMI~2023-06-04 09:35~
2023-03-09,2023-06-06,2023-06-06,06:20,08:55,OST,PMI,2u 35m,Direct,TB 1441,10,149.99,TB~1441~ ~OST~2023-06-06 06:20~PMI~2023-06-06 08:55~
2023-03-09,2023-06-09,2023-06-09,15:30,18:05,OST,PMI,2u 35m,Direct,TB 1451,10,95.99,TB~1451~ ~OST~2023-06-09 15:30~PMI~2023-06-09 18:05~
2023-03-09,2023-06-11,2023-06-11,07:00,09:35,OST,PMI,2u 35m,Direct,TB 1441,10,114.99,TB~1441~ ~OST~2023-06-11 07:00~PMI~2023-06-11 09:35~
