search_date,departure_date,arrival_date,departure_time,arrival_time,departure_airport,arrival_airport,flight_duration,flight_type,flight_number,available_seats,price,flight_key
2023-03-08,2023-04-02,2023-04-02,14:40,18:40,OST,TFS,5u 0m,Direct,TB1811,10,449.99,TB~1811~ ~OST~2023-04-02 14:40~TFS~2023-04-02 18:40~
2023-03-08,2023-04-03,2023-04-03,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,469.99,TB~1801~ ~OST~2023-04-03 06:00~TFS~2023-04-03 10:00~
2023-03-08,2023-04-04,2023-04-04,13:00,17:00,OST,TFS,5u 0m,Direct,TB1801,10,224.99,TB~1801~ ~OST~2023-04-04 13:00~TFS~2023-04-04 17:00~
2023-03-08,2023-04-09,2023-04-09,14:40,18:40,OST,TFS,5u 0m,Direct,TB1811,10,379.99,TB~1811~ ~OST~2023-04-09 14:40~TFS~2023-04-09 18:40~
2023-03-08,2023-04-10,2023-04-10,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,339.99,TB~1801~ ~OST~2023-04-10 06:00~TFS~2023-04-10 10:00~
2023-03-08,2023-04-11,2023-04-11,13:00,17:00,OST,TFS,5u 0m,Direct,TB1801,10,169.99,TB~1801~ ~OST~2023-04-11 13:00~TFS~2023-04-11 17:00~
2023-03-08,2023-04-16,2023-04-16,14:40,18:40,OST,TFS,5u 0m,Direct,TB1811,10,249.99,TB~1811~ ~OST~2023-04-16 14:40~TFS~2023-04-16 18:40~
2023-03-08,2023-04-17,2023-04-17,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,249.99,TB~1801~ ~OST~2023-04-17 06:00~TFS~2023-04-17 10:00~
2023-03-08,2023-04-23,2023-04-23,14:40,18:40,OST,TFS,5u 0m,Direct,TB1811,10,329.99,TB~1811~ ~OST~2023-04-23 14:40~TFS~2023-04-23 18:40~
2023-03-08,2023-04-24,2023-04-24,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,309.99,TB~1801~ ~OST~2023-04-24 06:00~TFS~2023-04-24 10:00~
2023-03-08,2023-04-30,2023-04-30,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,349.99,TB~1811~ ~OST~2023-04-30 13:00~TFS~2023-04-30 17:00~
2023-03-08,2023-05-01,2023-05-01,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,274.99,TB~1801~ ~OST~2023-05-01 06:00~TFS~2023-05-01 10:00~
2023-03-08,2023-05-07,2023-05-07,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,264.99,TB~1811~ ~OST~2023-05-07 13:00~TFS~2023-05-07 17:00~
2023-03-08,2023-05-08,2023-05-08,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,179.99,TB~1801~ ~OST~2023-05-08 06:00~TFS~2023-05-08 10:00~
2023-03-08,2023-05-14,2023-05-14,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,254.99,TB~1811~ ~OST~2023-05-14 13:00~TFS~2023-05-14 17:00~
2023-03-08,2023-05-15,2023-05-15,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,274.99,TB~1801~ ~OST~2023-05-15 06:00~TFS~2023-05-15 10:00~
2023-03-08,2023-05-21,2023-05-21,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,209.99,TB~1811~ ~OST~2023-05-21 13:00~TFS~2023-05-21 17:00~
2023-03-08,2023-05-22,2023-05-22,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,204.99,TB~1801~ ~OST~2023-05-22 06:00~TFS~2023-05-22 10:00~
2023-03-08,2023-05-28,2023-05-28,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,264.99,TB~1811~ ~OST~2023-05-28 13:00~TFS~2023-05-28 17:00~
2023-03-08,2023-05-29,2023-05-29,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,249.99,TB~1801~ ~OST~2023-05-29 06:00~TFS~2023-05-29 10:00~
2023-03-08,2023-06-04,2023-06-04,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,209.99,TB~1811~ ~OST~2023-06-04 13:00~TFS~2023-06-04 17:00~
2023-03-08,2023-06-05,2023-06-05,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,204.99,TB~1801~ ~OST~2023-06-05 06:00~TFS~2023-06-05 10:00~
2023-03-08,2023-06-11,2023-06-11,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,189.99,TB~1811~ ~OST~2023-06-11 13:00~TFS~2023-06-11 17:00~
2023-03-08,2023-06-12,2023-06-12,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,199.99,TB~1801~ ~OST~2023-06-12 06:00~TFS~2023-06-12 10:00~
2023-03-08,2023-06-18,2023-06-18,13:00,17:00,OST,TFS,5u 0m,Direct,TB1811,10,229.99,TB~1811~ ~OST~2023-06-18 13:00~TFS~2023-06-18 17:00~
2023-03-08,2023-06-19,2023-06-19,06:00,10:00,OST,TFS,5u 0m,Direct,TB1801,10,204.99,TB~1801~ ~OST~2023-06-19 06:00~TFS~2023-06-19 10:00~
